,u,v,w,hvelmag,theta,mueff,u'theta'_r,v'theta'_r,w'theta'_r,u'u'_r,u'v'_r,u'w'_r,v'v'_r,v'w'_r,w'w'_r,u'u'u'_r,v'v'v'_r,w'w'w'_r,z
0,5.795545453456063,1.42128353817169,6.200176352759544e-09,5.98319924153569,291.80300896209366,0.0,-0.007691830193405557,-0.001627769284456187,0.0005163327147113582,0.42827361698760913,0.05270588209820165,-0.020178347884438324,0.2059729404763671,-0.0038692575490850375,0.009058114846663615,0.02216298976612908,0.038026437024755604,9.368111566978352e-05,5.208333333333333
1,7.29559037817807,1.7672745504804916,9.46681645688965e-09,7.526941885809996,291.7841472801598,0.0,-0.015398658678306493,-0.003086078633608163,0.0023893011051322965,0.9895047485046367,0.14264389692131182,-0.11770604925094146,0.33803244410190497,-0.022738485527699328,0.05475886607786476,-0.12317263819140606,0.05614974700137291,-0.00046190166616601934,15.625
2,7.7915464453926635,1.886698439654107,1.1123309952948949e-08,8.038097559042724,291.77032006772754,0.0,-0.01623610531436221,-0.0031151018625055877,0.0035855343756322784,0.9335497926530876,0.12099505837476746,-0.1273471616852664,0.3662361678969064,-0.02358687702429564,0.10186385285759299,-0.2185377040240112,0.03974723621134977,-0.0013201702650169772,26.041666666666664
3,8.205895264332527,1.9800668431324453,1.1529917918722355e-08,8.462011612938777,291.7614929178359,0.0,-0.0166042041262042,-0.003033691166245957,0.003979731628431856,0.9263029213269289,0.11299894823548903,-0.1524943249287637,0.3653237420441362,-0.027916166222014566,0.133180466535343,-0.30448486970003885,0.02469722078981488,0.003086101285713936,36.45833333333333
4,8.37425051157527,2.0177234176351337,1.1265203953162723e-08,8.633438844039102,291.7553586840955,0.0,-0.01519635911241273,-0.0026167565997047295,0.0041740662540919096,0.8291828896614233,0.090475845248898,-0.14329545285080353,0.34686816921101343,-0.025013527557185715,0.15072133198710758,-0.29423422949461997,0.014058607666571972,0.009906451798896088,46.875
5,8.572152701253055,2.057799869174505,1.0481545601738366e-08,8.83413452442194,291.75090936945304,0.0,-0.01446478336835765,-0.002348064870936273,0.0041745984854938585,0.7978831011234719,0.08042458113023358,-0.15141615536831649,0.3310415299935573,-0.02599242023288155,0.16121592805607302,-0.31078095309846426,0.009977154470435495,0.015977633760231407,57.291666666666664
6,8.669250818322359,2.076643074457079,9.509770237352965e-09,8.931869457236669,291.74747872529815,0.0,-0.013236589147568695,-0.0020201815872894252,0.004179286133117653,0.7348448235601803,0.06631083770320459,-0.14512385707911607,0.31113304431762,-0.02390164950580649,0.16771907172615383,-0.29636080288687583,0.009243125770652724,0.020882718728848098,67.70833333333333
7,8.790325716233564,2.099191648723659,8.376121571696691e-09,9.053882115195824,291.7447557195552,0.0,-0.012568296207192728,-0.0018269938498757677,0.004118701372838475,0.7116661293307751,0.060556144884155616,-0.1484095249243239,0.295175607935626,-0.023965687448787604,0.17156158520265008,-0.2935952194222952,0.00812600552305375,0.02469399671985438,78.125
8,8.85731331086013,2.1116855155115535,7.269023398475984e-09,9.121100537482352,291.74247556768773,0.0,-0.011660806672331017,-0.0015857865842859717,0.004069750890901842,0.6706069295684342,0.05157011274591058,-0.1437379355503279,0.27957953424676746,-0.022401755027243137,0.17395377068444576,-0.2730539593346148,0.008703562103248921,0.027690409030038693,88.54166666666666
9,8.94004629758185,2.126815371836914,6.156066943766737e-09,9.204409206682891,291.74054754351477,0.0,-0.011117204551885673,-0.001422704855507604,0.003992929613356303,0.6537487950651,0.04712581830492833,-0.14507950118493138,0.2679693027271209,-0.022159339158255492,0.17514855047648878,-0.25942620418998324,0.0100776113744572,0.03011667623096477,98.95833333333333
