,u,v,w,hvelmag,theta,mueff,u'theta'_r,v'theta'_r,w'theta'_r,u'u'_r,u'v'_r,u'w'_r,v'v'_r,v'w'_r,w'w'_r,u'u'u'_r,v'v'v'_r,w'w'w'_r,z
0,4.990216342980699,1.620874677494388,1.8194954100411506e-09,5.258901374252083,290.9539723363862,0.0,0.00011589012162163128,3.237155373275516e-05,-2.2567204524440164e-06,0.3032587649883865,0.049595560060433634,-0.015451094925377681,0.14321945416803541,-0.0039074087711544435,0.007269354647850709,0.04033634820002539,0.01967444008889033,5.2134827624826635e-05,5.208333333333333
1,6.232419225743768,1.9880386809597992,2.6111181868834833e-09,6.557060828116235,290.95400498274734,0.0,0.00018516555735043674,4.722826685333694e-05,-1.479423540369677e-05,0.6500829793720175,0.12290614311129001,-0.0862038504558654,0.2350145427842184,-0.02141705892234415,0.044264136386039016,-0.02798918854463361,0.026339482688662316,-0.0005526881581908524,15.625
2,6.800365180207508,2.1487823928411194,2.75108416042163e-09,7.149218544056641,290.954096565746,0.0,0.0002304696949725953,5.445245605511472e-05,-3.427139261801458e-05,0.6564536479409568,0.1068349172742364,-0.10580195905453688,0.2772006320953489,-0.024136156717988307,0.08662191538012624,-0.07540633243101076,0.020072771559364346,-0.00394259812601931,26.041666666666664
3,7.110724040403746,2.231695439207966,2.3786206870398566e-09,7.470168241630393,290.9541551242154,0.0,0.00026127310867821504,5.5365981074365264e-05,-5.613608663544093e-05,0.5959068324154695,0.08510603155683541,-0.11556764127455808,0.27990991756063666,-0.024974078049631098,0.11997350905116402,-0.08616506084057311,0.00670727815188905,-0.004014004911967969,36.45833333333333
4,7.327103894654635,2.2809891077453677,1.7602781445050848e-09,7.691084313199519,290.95426919683104,0.0,0.00029111086035032497,5.389794262585999e-05,-7.892790762558438e-05,0.5418175191097702,0.06846237909708214,-0.11594515654863723,0.27725772172903496,-0.023061206785826596,0.13995134848035007,-0.07602125054741432,0.0008564323481813283,-0.000694853077272185,46.875
5,7.496144548289528,2.3142664370823045,9.734846139751807e-10,7.861936235787088,290.9543473102184,0.0,0.0003068971494595044,4.9449102387349156e-05,-9.772662701315934e-05,0.4933462962189762,0.05623091642107257,-0.11535299919615966,0.2725831376222114,-0.02119878953848878,0.15157915013946238,-0.07071731101783042,-0.0029684177532752743,0.0027241362975629004,57.291666666666664
6,7.64007467260262,2.339730776556981,2.0103830802562416e-10,8.006326064095955,290.9544588780167,0.0,0.00032729082605975976,4.835258429154752e-05,-0.0001205020964095478,0.45852547163887664,0.048152042093980496,-0.11418771553426875,0.2645829409091859,-0.01914801745826203,0.15759729247071563,-0.06087900794823713,-0.004891749405777687,0.005456636300658751,67.70833333333333
7,7.76496881605085,2.3604842404438284,-5.254808781216702e-10,8.131222494955608,290.95456137150114,0.0,0.000343174893486404,4.565299767960244e-05,-0.000139204064310709,0.43103365314235265,0.04175290884864191,-0.11245375955447101,0.2568498946978157,-0.017085949478406446,0.16046979145286352,-0.05486512938108411,-0.00481042193832748,0.0072243962438997104,78.125
8,7.880055306196714,2.377425121460627,-1.04878211515835e-09,8.24567676669501,290.95467934724644,0.0,0.00036404832580620613,4.4566113172048914e-05,-0.0001604359222165189,0.4098463772483516,0.03633945331163631,-0.11058046694743826,0.24866329182195748,-0.015092761503467741,0.16151094602973545,-0.04807063532504517,-0.005074880507636873,0.00825242556567065,88.54166666666666
9,7.985978617695276,2.3909842805668378,-1.5110848826068084e-09,8.350479843754465,290.9548038073328,0.0,0.00038639494695250743,4.02661812523877e-05,-0.0001794943045257326,0.39488977453805874,0.032825169985655996,-0.10896274816637114,0.2415741781273506,-0.013156589073971742,0.1614033825637266,-0.045477407462212585,-0.005288250936805494,0.008785930608831862,98.95833333333333
10,8.08817069739062,2.40086815841812,-1.9707236488344325e-09,8.450681946878708,290.95493609651345,0.0,0.00040838127302200906,3.769828941431814e-05,-0.00019870178527507898,0.378487515695168,0.029749148006888375,-0.10652761691862493,0.23418126095202124,-0.011274318238158517,0.16064053578453386,-0.04375189779801854,-0.005038097274583885,0.008958592677927157,109.375
11,8.180542526688232,2.409084876788274,-2.5172942158225215e-09,8.541198103674605,290.95507410402826,0.0,0.00043386282091506225,3.18850718785069e-05,-0.0002185698694143237,0.3689645925245865,0.02686248819368749,-0.10502211136363074,0.22876198440896112,-0.009440622519320747,0.1592381837921429,-0.04143714006938696,-0.00514434520714949,0.009119394117645691,119.79166666666666
12,8.274896547503193,2.415435004632381,-2.973187837809033e-09,8.633117055318904,290.95522498671465,0.0,0.0004540146945449077,2.51190944471957e-05,-0.00023703393028600672,0.3554882242589626,0.023442195190182508,-0.10203945135667138,0.22299663541548212,-0.007649497600242485,0.15761232107441003,-0.038660498259043635,-0.004987442645400244,0.009421048351252445,130.20833333333331
13,8.359077168584758,2.420575061050231,-2.954872313731155e-09,8.715064443811668,290.9553786287695,0.0,0.00048086800849182846,1.7395139686008198e-05,-0.00025776053224290854,0.346850439741514,0.019954027083624492,-0.10081586984603153,0.2180939588575089,-0.005866756693598072,0.1557848110987484,-0.037652635853290074,-0.0041573864198386065,0.009771997671195999,140.625
14,8.450569087261051,2.4253007741262613,-3.6729749824879887e-09,8.80385339981264,290.9555554942092,0.0,0.0005000220152169534,8.309325332779277e-06,-0.00027543042334379303,0.333043462114293,0.016769855302684357,-0.0973098742443515,0.21169526841402142,-0.0042690716099428195,0.1539194860446711,-0.03695731825420243,-0.003791891144316846,0.010418304842298599,151.04166666666666
