# z uu uv uw vv vw ww TKE
3.350000000000000000e+02 1.701451021966166877e-01 3.062090820962250562e-02 4.849832560678576585e-03 2.473560733464670036e-01 2.009993680788566689e-02 5.890770879194304893e-02 4.680225048899813028e-02
3.450000000000000000e+02 1.645882607994436642e-01 2.871978983800008503e-02 4.756515584220950485e-03 2.258630965521591372e-01 1.537829886727816106e-02 5.279381171570152881e-02 4.044531026629429038e-02
3.550000000000000000e+02 1.565756058188611244e-01 2.821320841916716282e-02 5.771331794050863460e-03 2.031467753913398511e-01 1.114463634020092589e-02 4.727255582838676973e-02 3.400961361199540678e-02
3.650000000000000000e+02 1.459211661821058770e-01 2.774726289737520363e-02 5.285953275449515112e-03 1.793159065353065462e-01 7.612096206606351438e-03 4.249753667695804066e-02 2.762661085006697104e-02
3.750000000000000000e+02 1.334704115816581493e-01 2.598794776398774889e-02 3.291807686159272956e-03 1.543720574124860800e-01 4.975715824600874040e-03 3.833916409756207150e-02 2.155748719062045710e-02
3.850000000000000000e+02 1.209040360954801718e-01 2.245980587448975427e-02 1.262881669938937211e-03 1.300039611639019210e-01 3.568345260004526266e-03 3.450409257666656876e-02 1.635467413351083393e-02
3.950000000000000000e+02 1.113696426294114306e-01 1.822967135163103616e-02 9.139817100316169601e-04 1.089478541601346939e-01 2.612523329809365424e-03 3.101236632974582394e-02 1.261729954543557193e-02
4.050000000000000000e+02 1.029522871178131516e-01 1.553844128332188511e-02 2.236428373478317223e-03 9.183511492941409671e-02 1.480769891519395252e-03 2.799648292355218573e-02 9.908332406488040006e-03
4.150000000000000000e+02 9.584213637405702979e-02 1.321668460459107970e-02 1.893544342504140110e-03 7.671162050241021879e-02 9.965384844570622947e-04 2.542418372147315156e-02 7.858388471376183751e-03
4.250000000000000000e+02 8.987171663932642940e-02 1.027406075236755693e-02 8.644075256595229689e-05 6.437811084227111624e-02 1.666799284212224343e-03 2.299419735178017538e-02 6.375099859585871623e-03
4.350000000000000000e+02 8.740950924553655965e-02 6.224877741093980642e-03 -1.755064468542014838e-03 5.736712388447249428e-02 2.965090880326622883e-03 2.051938615118431564e-02 5.676227208671684801e-03
4.450000000000000000e+02 9.346452299916034601e-02 -6.194583684776561979e-07 -2.089677000183541404e-03 5.304733541295383881e-02 2.723551557564004352e-03 1.828024572455523925e-02 5.941902118812559391e-03
4.550000000000000000e+02 1.045410871652740770e-01 -8.978797213181951425e-03 -8.735664592123155167e-04 5.074289378754058555e-02 1.240057431501660713e-03 1.659330595294447944e-02 6.889508989039540288e-03
4.650000000000000000e+02 1.069549119181495977e-01 -1.560304211589912809e-02 -9.205887984451142404e-04 4.880395273547973728e-02 9.817399164068890943e-04 1.545391090764234622e-02 7.030001174183712724e-03
4.750000000000000000e+02 9.813907313116941589e-02 -1.770109298598583972e-02 -1.828978533518701424e-03 4.537929024470234440e-02 1.525697906623443541e-03 1.464020001331781118e-02 5.952446557293953298e-03
4.850000000000000000e+02 8.058718437655547351e-02 -1.540356901803236443e-02 -1.477600650327432451e-03 4.160407651500206555e-02 1.988035584864817577e-03 1.394812795253771998e-02 4.209871870893728239e-03
4.950000000000000000e+02 6.295898458510354456e-02 -1.235982425770186521e-02 -4.499371254021689807e-04 3.813166083732168199e-02 1.955583816893159774e-03 1.327206455125095816e-02 2.797002497826204994e-03
5.050000000000000000e+02 5.201676928744206063e-02 -1.202669387401138733e-02 1.030950052534047412e-04 3.725952701502453085e-02 1.596002960802035383e-03 1.257564048548528816e-02 2.126081687053247345e-03
5.150000000000000000e+02 4.734322928542460812e-02 -1.136654599063672937e-02 -1.810339052919145522e-04 3.543029511738651771e-02 1.571820731379303072e-03 1.191815380526158388e-02 1.819364780701630043e-03
5.250000000000000000e+02 4.147290316685958017e-02 -9.295268439402291222e-03 -5.559928051984948470e-04 3.152693681123564656e-02 1.431608848103601249e-03 1.137413530659601296e-02 1.421660197880055378e-03
5.350000000000000000e+02 3.544271299130798830e-02 -6.811899290085451052e-03 -4.086613958387258884e-04 2.960002259862784535e-02 1.202242884391185570e-03 1.091802358971744914e-02 1.125775240564568999e-03
5.450000000000000000e+02 3.359692839529127006e-02 -5.369739182714739281e-03 1.976253519478214649e-05 2.934177362828325683e-02 1.153666081996864400e-03 1.052707833685118978e-02 1.050256327780974518e-03
5.550000000000000000e+02 3.748610536465725451e-02 -6.722919404128511849e-03 2.830612867833116495e-04 3.121837670953780605e-02 1.119866816027023475e-03 1.019626190284830293e-02 1.241879448290136769e-03
5.650000000000000000e+02 4.120803419106951887e-02 -9.282038505349123059e-03 1.783718495752244649e-04 3.433405288282142392e-02 1.308643696016730537e-03 9.931259139697931615e-03 1.487779588676283338e-03
5.750000000000000000e+02 4.073568718461829247e-02 -9.432457034654643732e-03 -1.450828288055218710e-04 3.604063367127888912e-02 1.594914630010081224e-03 9.714484439039879765e-03 1.526347346873372203e-03
5.850000000000000000e+02 3.611026923363315488e-02 -6.725109821564071930e-03 -1.534909045000795128e-04 3.394622365319151236e-02 1.580196584220865987e-03 9.509916555795184384e-03 1.273368078668079845e-03
5.950000000000000000e+02 2.887662789947839648e-02 -2.920071341061456632e-03 8.832052516999209677e-05 2.928215428812563567e-02 1.296859836038786193e-03 9.290459821221924708e-03 8.888084211441338268e-04
6.050000000000000000e+02 2.358016735596588781e-02 4.195642729951957681e-04 1.693143852468080319e-04 2.409495206760167360e-02 9.677173109951354513e-04 9.018420235304379362e-03 6.089614556079645359e-04
6.150000000000000000e+02 2.364994227277041408e-02 6.929184273866478231e-04 -7.221917415882988915e-05 2.067065565225646370e-02 6.741579314376452102e-04 8.699949528027052861e-03 5.311424481948766839e-04
6.250000000000000000e+02 2.506146101528291745e-02 -5.437750509287516982e-04 -5.165719677871320747e-04 2.001625198304706268e-02 7.135511195504595783e-04 8.394548992074280305e-03 5.495978122248582022e-04
6.350000000000000000e+02 2.420134391993714398e-02 -4.286520540290248674e-04 -6.950957366181145531e-04 2.058092043721482592e-02 1.151628446368401035e-03 8.128311664565193717e-03 5.376743920451759751e-04
6.450000000000000000e+02 2.257904297259449855e-02 1.030386599188356589e-03 -3.274517699325383310e-04 2.080654576273663695e-02 1.619799341139449263e-03 7.862645282962437907e-03 5.022733594904071897e-04
6.550000000000000000e+02 2.303702698290249762e-02 3.009866450991800692e-03 2.957949850073590377e-04 2.031716316345606385e-02 1.783904575470528437e-03 7.557531242749279156e-03 5.003040048533026821e-04
6.650000000000000000e+02 2.655391634794797284e-02 3.343901366857621356e-03 6.801124175815879839e-04 1.926716018832889607e-02 1.827921610650265526e-03 7.237277186332488794e-03 5.643560581041766507e-04
6.750000000000000000e+02 2.755812249443827591e-02 1.381601790438971101e-03 6.872514715541642571e-04 1.782566545298985838e-02 1.814593524761842899e-03 6.947478043982970898e-03 5.627359577160032621e-04
6.850000000000000000e+02 2.361795119212501889e-02 -5.445017256912917502e-04 6.728028843588846394e-04 1.699781953203960416e-02 1.713477710829665020e-03 6.685520303196797014e-03 4.457148345409216064e-04
6.950000000000000000e+02 1.878736577432627008e-02 -4.611114031938850686e-04 6.811260516343580276e-04 1.738331974961232831e-02 1.483842609536723802e-03 6.412146296305886589e-03 3.481302691904087222e-04
7.050000000000000000e+02 1.713362837713271539e-02 1.088329403830239723e-03 6.298697007571910133e-04 1.842437567915733432e-02 1.112337492284651329e-03 6.090332949727752555e-03 3.350554979854756198e-04
7.150000000000000000e+02 1.821004706491165595e-02 2.448364419797833397e-03 4.457183238948999454e-04 1.907834333833839310e-02 8.564136659912432612e-04 5.740165594386479470e-03 3.642692498463984173e-04
7.250000000000000000e+02 1.931313165627975698e-02 3.074485663565664720e-03 7.308405858415909667e-05 1.938306094724232334e-02 8.201746161109357185e-04 5.422354915603476606e-03 3.890510194440374844e-04
7.350000000000000000e+02 1.932681407127933432e-02 4.049634029463491415e-03 -1.669600831091871084e-04 1.921550305258495558e-02 7.884400818323818606e-04 5.159663519435687268e-03 3.846917136717490238e-04
7.450000000000000000e+02 2.014990549095162231e-02 5.418886274988252150e-03 -1.744746701789529520e-04 1.912875236127910966e-02 6.787429259092891010e-04 4.918742203803082302e-03 3.980609415304485433e-04
7.550000000000000000e+02 2.252575853015677254e-02 7.092700824668541314e-03 -6.938861648380730180e-05 1.904810784748734234e-02 6.118997390683507398e-04 4.658335290551736743e-03 4.459701488038195953e-04
7.650000000000000000e+02 2.602189770494777246e-02 7.376521436401379042e-03 -3.383350367849889196e-05 1.825477207843089617e-02 8.151274619294408960e-04 4.394439686357478649e-03 5.148434819796299982e-04
7.750000000000000000e+02 2.880310978830328064e-02 5.242135040547076311e-03 -2.913361750122300266e-04 1.742990793115643117e-02 1.305706406782576384e-03 4.180912954300527659e-03 5.754504285485401074e-04
7.850000000000000000e+02 2.809628099075983307e-02 1.869914985210035163e-03 -4.909033857155931449e-04 1.624130732460783016e-02 1.762874061437005651e-03 4.029156922570869409e-03 5.347075873153965542e-04
7.950000000000000000e+02 2.168787537265096099e-02 -5.141268272259319635e-05 -2.513372448079000490e-04 1.538884521646683400e-02 1.939413012937958938e-03 3.887131963250725110e-03 3.611451450878697773e-04
8.050000000000000000e+02 1.512311678932135202e-02 1.001799458622330916e-03 1.080495433643820208e-04 1.540658314787208757e-02 1.926985932103013463e-03 3.703757254811812505e-03 2.398946417591603440e-04
8.150000000000000000e+02 1.404406330710863786e-02 2.591286101061280375e-03 4.731039677025679260e-04 1.587190585151233499e-02 1.783710457363187887e-03 3.490390587521382572e-03 2.306679679934023049e-04
8.250000000000000000e+02 1.695926084434114592e-02 3.762710146996675522e-03 6.899951772420543630e-04 1.625033605999420469e-02 1.701399778721787064e-03 3.280974038470600273e-03 2.812273705451343942e-04
8.350000000000000000e+02 2.064869282266882516e-02 4.270467908296090263e-03 7.909336245980430570e-04 1.597799233658634549e-02 1.728651488648967312e-03 3.078923493122615561e-03 3.455722621347246705e-04
8.450000000000000000e+02 2.183634311889452034e-02 3.193289709407348600e-03 9.717766968601124081e-04 1.523194272497242416e-02 1.788417377315927679e-03 2.898375132243901069e-03 3.586192691950711446e-04
