# z, uu, uv, uw, vv, vw, ww, tke
8.437500000000000000e+01 1.265039028982164471e-01 7.656312130555206590e-03 -2.853435022327351772e-02 6.957100933711804491e-02 -8.694148374260049451e-04 4.079620846250299471e-02 1.184355603489187503e-01
8.750000000000000000e+01 1.228572452437296375e-01 6.019843184863333391e-03 -2.748299632172014617e-02 6.738417114283772047e-02 -2.466977325538028689e-04 3.933508680567281840e-02 1.147882515961200917e-01
9.062500000000000000e+01 1.181492699067969582e-01 4.364536962015749637e-03 -2.621054763002853005e-02 6.556026622150944172e-02 4.239943436062679162e-04 3.759253745645488309e-02 1.106510367923806415e-01
9.375000000000000000e+01 1.152561508337894836e-01 3.420481233910105216e-03 -2.514647054393122014e-02 6.294715741181843016e-02 9.771941029046594257e-04 3.620881668425761368e-02 1.072060624649327776e-01
9.687500000000000000e+01 1.106154726015679823e-01 2.139244266093714552e-03 -2.377638151164930894e-02 6.031741804620062430e-02 1.602404718636349194e-03 3.451642441204492984e-02 1.027246575299067821e-01
1.000000000000000000e+02 1.075112112369103756e-01 3.756314900312667806e-04 -2.266458871847764484e-02 5.810373639736284013e-02 2.042580405044104163e-03 3.297730053840500219e-02 9.929612408633910203e-02
1.031250000000000000e+02 1.046939004197205564e-01 -1.103968745118815483e-03 -2.147329258134640304e-02 5.616042320836148183e-02 2.451793355681536161e-03 3.193296390518244460e-02 9.639364376663224487e-02
1.062500000000000000e+02 1.013021852708256704e-01 -1.962278145104278879e-03 -2.031578355949674453e-02 5.383873041145492006e-02 2.866525933901870743e-03 3.058890235265093738e-02 9.286490901746576043e-02
1.093750000000000000e+02 9.764803537516394960e-02 -2.473176051661212307e-03 -1.920129648944066819e-02 5.116340451386937327e-02 3.234981620221442401e-03 2.948714963402178368e-02 8.914929476152755328e-02
1.125000000000000000e+02 9.375617244211958967e-02 -3.467657544467699082e-03 -1.809618869189274712e-02 4.908389802636774907e-02 3.644170094773380511e-03 2.802985497885905619e-02 8.543496272367320787e-02
1.156250000000000000e+02 9.045000470504103995e-02 -4.931448288841118292e-03 -1.710880216178539692e-02 4.803510057173529524e-02 3.972159851643476507e-03 2.695242684125765537e-02 8.271876605901698487e-02
1.187500000000000000e+02 8.685023693303703385e-02 -6.538295540569557390e-03 -1.606927844849868545e-02 4.717198996031231328e-02 4.224376949795158494e-03 2.567671832186859890e-02 7.984947260760898169e-02
1.218750000000000000e+02 8.357774049316264720e-02 -7.553405504000468978e-03 -1.501874002920575851e-02 4.702537505232463888e-02 4.452115064728174622e-03 2.454816783254095899e-02 7.757564168901412427e-02
