,u,v,w,hvelmag,theta,mueff,u'theta'_r,v'theta'_r,w'theta'_r,u'u'_r,u'v'_r,u'w'_r,v'v'_r,v'w'_r,w'w'_r,u'u'u'_r,v'v'v'_r,w'w'w'_r,z
18,8.818021597610482,2.3686937332187745,-6.8351825087199725e-09,9.140552378557002,290.9537821543074,0.0,0.0006153908543465622,-2.571022340988742e-07,-0.0004312507205450633,0.28173545815245743,0.0045195433796226805,-0.08090861230593324,0.17515108674010296,-0.0005286021950157133,0.12609479094024073,-0.031398303975105145,-0.0013427156144278222,0.010352934796371045,192.70833333333331
19,8.886498878837063,2.3646476902054676,-7.059961053602142e-09,9.205349415685784,290.954114145757,0.0,0.0006472040705735501,-1.4760068538134008e-05,-0.00045491825994366545,0.27227640066803455,0.005209606454227915,-0.07852389896451015,0.17149413945862618,0.0006807775221640104,0.12271291338918933,-0.031127239186078792,-0.0009752739841555122,0.010384403547729883,203.125
20,8.953094844362404,2.3602711481967624,-7.182820604786537e-09,9.26831554347674,290.95444333025256,0.0,0.0006780756133970103,-3.4167843554853844e-05,-0.0004783580939520411,0.2627863782462617,0.005091869295108942,-0.0761297879182779,0.1677706960222799,0.001813400958704311,0.1193271973861101,-0.03107494626510944,-0.001215459552266475,0.010423690857158397,213.54166666666666
21,9.018416342073857,2.355978752094291,-7.3152769333516545e-09,9.33010494080062,290.9548153220573,0.0,0.0007114581668652848,-5.6227519593785636e-05,-0.0005021754395124639,0.25333017067815206,0.004507082793504533,-0.07373866950641667,0.1634587572322784,0.0028809488089345256,0.11595096495073934,-0.030833152916128963,-0.0009743807579867899,0.010405583423968204,223.95833333333331
22,9.082735108756728,2.3508999417194283,-7.37239200278318e-09,9.390741620337542,290.9551882449127,0.0,0.0007475372128182599,-8.01684939672212e-05,-0.0005249223581334558,0.24491192656789,0.0038747833908879667,-0.07132788673640507,0.15829896619305303,0.003850632664161177,0.11258606708401318,-0.030744470334181654,-0.0007378921686044402,0.010324835380238396,234.375
23,9.145362095349732,2.344194832022425,-7.44495954397128e-09,9.449388326728004,290.9556085202923,0.0,0.0007888957645860358,-0.00010500978539023074,-0.0005480768980834303,0.2374132779184364,0.0036219805595196085,-0.06892761198705813,0.1531981030154908,0.004769407391166425,0.10926060441565408,-0.030920134544293862,-0.000916038190129493,0.010188252055127807,244.79166666666666
24,9.206649508912983,2.3361414006938124,-7.361947107331848e-09,9.506482292855823,290.9560288124465,0.0,0.0008251289208863207,-0.00012718807576466047,-0.0005706349168141541,0.22961917467745896,0.003395373537265879,-0.06655462322473797,0.14857869316851594,0.00564378092504042,0.10605133769141463,-0.030784458930099366,-0.001040442242453458,0.009998170882557798,255.20833333333331
25,9.267073715967456,2.327241886645607,-7.394235850719481e-09,9.562614747946744,290.95649856747565,0.0,0.000859971323485275,-0.00014708041506298605,-0.0005940100452513606,0.22160649332671767,0.0028595012676361545,-0.0641940731461913,0.1443034600452215,0.0064979788817848315,0.102915259058378,-0.030119123027560264,-0.0011278109742438305,0.009783347656062433,265.625
26,9.326720839231324,2.3175783138420205,-7.608182736347348e-09,9.617883381593973,290.9569854374436,0.0,0.0008900653223967592,-0.0001710331275935984,-0.0006165066565268329,0.21320538931992425,0.0021996448195500426,-0.061856419715263254,0.14025345580921972,0.007266601949559775,0.09981135129094014,-0.028826425246610915,-0.0015148239096890409,0.009584662893615637,276.04166666666663
27,9.385102496113154,2.3072630001222163,-8.13318263610086e-09,9.671834735806542,290.95752848659237,0.0,0.0009226636041165947,-0.0001973829916413793,-0.000639685795083389,0.20471611563316963,0.0011445100998449867,-0.05954281619408275,0.13612723379291358,0.007990941424921898,0.09673325653340288,-0.02766397640102193,-0.0017770204209523555,0.009391681395231473,286.4583333333333
28,9.442489618982288,2.296584459117221,-8.681830946956703e-09,9.724798543434892,290.95809757381403,0.0,0.0009556772856806966,-0.000222184653078051,-0.0006620007730042695,0.19697379230496995,-0.00033163144936034167,-0.05723449899929663,0.13181765082753957,0.008644612659788853,0.09364313781031093,-0.026991662643505814,-0.0015336174949414567,0.009148235687810652,296.875
29,9.49917779733863,2.285443103121418,-8.634903489278968e-09,9.777066634457755,290.95873318390795,0.0,0.0009949325621372242,-0.00024717759341145095,-0.0006850623817097891,0.18997874935634462,-0.0018323378031305701,-0.05494715133025845,0.12810597379954716,0.00921854795771889,0.09053794011707841,-0.026408513041250848,-0.0009611698169156565,0.008845048040697282,307.29166666666663
30,9.554427157122086,2.2739540072227857,-9.822114544328546e-09,9.827920612084963,290.95940188015925,0.0,0.0010366884790732275,-0.00027543966284834575,-0.0007072788648014743,0.1834428873644185,-0.003289012499583277,-0.05265225001688518,0.12445363879174096,0.00972940053494133,0.08745131461476462,-0.02604014253169544,-0.00032038272533426875,0.008514561281166672,317.7083333333333
31,9.608902031679218,2.2620117654012275,-1.129784644754003e-08,9.877980085158779,290.96013228811074,0.0,0.0010779375301994373,-0.00031029796728385605,-0.000729805853548111,0.17661096014424493,-0.004481515955098205,-0.05035019033572203,0.12093097317058789,0.010158988476386804,0.08436842105622788,-0.02583190087689741,1.52070948077297e-05,0.008156542463518582,328.125
32,9.662752270254309,2.24994082779392,-1.4100274766934412e-08,9.927471295684503,290.96091352181907,0.0,0.0011176222129599448,-0.00035424172817972744,-0.0007509898485705825,0.17018659865689764,-0.006292532904773221,-0.04805494236013592,0.1172441943149272,0.010505600335113247,0.08121783570462002,-0.025802900457088027,0.00042136526629512364,0.007764820929147229,338.54166666666663
33,9.715994251882108,2.23704846924302,-1.4677966735177043e-08,9.97622534772256,290.9617717747463,0.0,0.0011639160043461776,-0.0004051653628812994,-0.0007726495512392479,0.1646411919147197,-0.008107837390570699,-0.04576220169863386,0.11307789771552973,0.010773702607520263,0.07798483640267717,-0.025747523288412583,0.0010887589844565623,0.007345677162576817,348.9583333333333
34,9.769124823809568,2.223022844909184,-1.5343042333245278e-08,10.024690734618723,290.9626934506476,0.0,0.0012106618319471867,-0.00045886836966883664,-0.0007930393942069405,0.1593054220769167,-0.00946192506279918,-0.043476847813805966,0.10932962248918135,0.010992516863907432,0.07470252100565114,-0.025592984597551837,0.0018297156142950716,0.006909492237102612,359.375
