,step,time,z,<u>,<v>,<w>,<hvelmag>,<temperature0>,<velocity_mueff0>,<u'u'>,<u'v'>,<u'w'>,<v'u'>,<v'v'>,<v'w'>,<w'u'>,<w'v'>,<w'w'>,<temperature0'u'>,<temperature0'v'>,<temperature0'w'>,<u'u'u'>,<u'u'v'>,<u'u'w'>,<u'v'u'>,<u'v'v'>,<u'v'w'>,<u'w'u'>,<u'w'v'>,<u'w'w'>,<v'u'u'>,<v'u'v'>,<v'u'w'>,<v'v'u'>,<v'v'v'>,<v'v'w'>,<v'w'u'>,<v'w'v'>,<v'w'w'>,<w'u'u'>,<w'u'v'>,<w'u'w'>,<w'v'u'>,<w'v'v'>,<w'v'w'>,<w'w'u'>,<w'w'v'>,<w'w'w'>
0,226801.0,113400.0,5.2083,4.976215416666666,1.5907261111111122,-1.2829441666666662e-10,5.236064444444445,290.89000000000163,0.6227078194444449,0.3274997083333333,0.05548573611111116,-0.01363429861111111,0.05548573611111116,0.14060223611111108,-0.0035655352777777794,-0.01363429861111111,-0.0035655352777777794,0.005148653611111115,0.00011850864027777786,3.9702280555555527e-05,-2.6696081944444446e-06,0.04168178888888889,1.1510101249999998,1.6717,-0.16782688888888894,0.020030024999999996,0.10831099305555557,0.06813398749999999,0.021955143055555557,0.0002693428106944445,-0.0025348198283333323,0.1853220555555556,0.27360281944444437,-0.4589415416666667,0.017127220277777782,0.24082973611111114,0.01778610138888889,0.005714506388888883,4.041335138888892e-05,-0.0031185441666666696,-0.049297363888888925,-0.07098319305555552,0.012417014861111119,0.0003454457803194442,-0.005328647361111113,-0.025521159722222235,-0.008085775000000003,0.00010583602222222217
1,226801.0,113400.0,15.625,6.286541944444451,1.9622355555555555,-5.295546944444443e-10,6.600067361111117,290.89000000000163,0.43880843055555563,0.7169079027777776,0.1392489583333334,-0.07736608333333332,0.1392489583333334,0.22723812499999999,-0.01962510277777779,-0.07736608333333332,-0.01962510277777779,0.032062348611111076,0.00020451356944444442,5.688823611111109e-05,-1.5882727777777775e-05,-0.029509809829166657,3.071644444444445,4.477952361111112,-0.5811516111111111,0.020951595555555563,0.29429241666666656,0.4849117361111114,0.15027597222222214,-0.0015264710627777786,-0.029927992500000014,0.5721753194444438,0.8455160000000002,-0.9631766111111115,0.019506884722222225,0.4654943472222226,0.12266290277777775,0.037802429166666665,-0.0007214383697916674,0.006110257829166669,-0.3285252916666665,-0.48032806944444495,0.08823621388888893,0.0033759254166666683,-0.03514794583333331,-0.20090369444444445,-0.062241725,0.0006854913434722221
2,226801.0,113400.0,26.04199999999986,6.938897777777777,2.1328105555555563,-1.248064861111111e-09,7.275216111111111,290.89000000000163,0.30660359722222247,0.7409674305555556,0.1305363472222221,-0.09885277222222227,0.1305363472222221,0.26359009722222226,-0.023590069444444434,-0.09885277222222227,-0.023590069444444434,0.06335977916666669,0.0002724231249999998,6.907080277777781e-05,-3.779035555555557e-05,-0.1340667777777778,3.427930972222224,5.007996944444445,-0.6179687500000003,0.009319536055555548,0.28786156944444447,0.6803093750000005,0.2051309861111113,-0.005694680694444435,-0.05001946666666667,0.5772688194444444,0.8558106944444447,-1.257896666666667,0.008912833898749998,0.5712405416666662,0.16113499999999992,0.04776452638888889,-0.002566898041666668,0.03321408055555556,-0.4419641388888893,-0.6527895694444443,0.1204633555555556,0.007092885416666663,-0.04323852361111115,-0.4402628888888888,-0.1357410000000001,-0.0005792421202222225
3,226801.0,113400.0,36.45800000000015,7.310180694444443,2.2132469444444465,-2.2407483333333343e-09,7.654028333333335,290.89000000000163,0.2421554305555555,0.6730084722222223,0.10526907777777782,-0.1065846222222222,0.10526907777777782,0.26960019444444444,-0.02360054305555553,-0.1065846222222222,-0.02360054305555553,0.09079976666666663,0.00032138524999999996,7.604548750000008e-05,-6.171276944444437e-05,-0.15470245138888897,3.2761141666666673,4.765485972222222,-0.5391270416666667,-0.0025469647194444446,0.23053451388888868,0.7695787222222222,0.226264263888889,-0.00963335541666667,-0.04558936111111114,0.4909904861111114,0.724071847222222,-1.3781286111111104,-0.0040593368166666685,0.5927633194444447,0.1683076249999999,0.04801754861111112,-0.004233885138888888,0.043512779166666654,-0.49980179166666705,-0.7356995277777779,0.12889547916666672,0.008605123472222226,-0.043646322222222214,-0.6653433194444448,-0.20254056944444437,-0.0015449217435416663
4,226801.0,113400.0,46.875,7.553960277777775,2.258189861111111,-3.31057125e-09,7.90022888888889,290.89000000000163,0.2085002500000001,0.5957600833333334,0.08355396388888893,-0.10888463888888877,0.08355396388888893,0.2680802222222224,-0.022428380555555558,-0.10888463888888877,-0.022428380555555558,0.11229921111111107,0.00034928424999999987,7.912600972222216e-05,-8.680009305555551e-05,-0.13999708472222236,3.0154120833333335,4.360684583333333,-0.45146670833333336,-0.008905224769444442,0.17985458749999983,0.8103300416666671,0.23368069444444434,-0.01221246583333332,-0.033270744861111125,0.4092909166666669,0.5980504583333334,-1.4306880555555563,-0.011072571204166675,0.5943974999999998,0.16430305555555552,0.04552420138888891,-0.005136269763888886,0.04370149166666671,-0.532948027777778,-0.7788409722222216,0.12779062500000002,0.009011647777777776,-0.04164881527777782,-0.8485848333333331,-0.2538855,-0.0002610479719444448
5,226801.0,113400.0,57.29200000000038,7.736386527777772,2.285831944444442,-4.4255469444444455e-09,8.08263222222222,290.89000000000163,0.18765444444444432,0.5328996666666664,0.06637270555555562,-0.10927713749999997,0.06637270555555562,0.26351345833333306,-0.02078591388888889,-0.10927713749999997,-0.02078591388888889,0.12771133333333332,0.0003644441805555556,7.906959999999997e-05,-0.00010883816388888883,-0.11917806250000004,2.785740416666668,4.003844583333333,-0.37349562499999994,-0.011612735938888886,0.14017411249999995,0.8319767222222224,0.2363611111111112,-0.013447742500000007,-0.023124205972222235,0.33875902777777767,0.49054556944444466,-1.450303611111112,-0.01411987953472221,0.5883028611111115,0.1552472694444446,0.04194858611111108,-0.005575072083333337,0.03990409444444444,-0.5557116111111116,-0.8055203611111103,0.12245281111111113,0.009154188888888894,-0.03836947916666666,-0.9857452638888883,-0.28964687499999986,0.0023054831479166673
6,226801.0,113400.0,67.70799999999949,7.884752638888893,2.305238472222223,-5.413620694444445e-09,8.229995694444447,290.89000000000163,0.1730708333333334,0.4842461805555555,0.05358158472222223,-0.10873344305555543,0.05358158472222223,0.2572728888888886,-0.019071531249999996,-0.10873344305555543,-0.019071531249999996,0.137719375,0.0003756743750000003,7.723197638888887e-05,-0.0001312569583333333,-0.10076224722222217,2.601396527777778,3.717699305555557,-0.3116435833333334,-0.012509301758333332,0.11106739861111113,0.8434785694444447,0.2368120138888888,-0.013864606111111124,-0.01795891402777779,0.281175351388889,0.40475177777777793,-1.4496712500000002,-0.014295236097222216,0.578838875,0.1447429930555556,0.03832815972222222,-0.005647739972222223,0.03552820277777777,-0.571138361111111,-0.8218150694444442,0.11578777083333339,0.009373022611111115,-0.03460287638888885,-1.0808595138888877,-0.3124261388888888,0.0050627170277777805
7,226801.0,113400.0,78.125,8.010777916666667,2.3201143055555566,-6.27099236111111e-09,8.354655138888887,290.89000000000163,0.16199411111111098,0.4486767916666667,0.044762215277777774,-0.10766599861111117,0.044762215277777774,0.25046323611111093,-0.017320819166666664,-0.10766599861111117,-0.017320819166666664,0.14332979166666665,0.00038886275000000006,7.543218055555562e-05,-0.00015219441666666683,-0.08401969166666669,2.469585277777777,3.5105638888888886,-0.26771068888888894,-0.012787306812499994,0.09111483888888885,0.8487776527777782,0.23609426388888877,-0.013717946527777776,-0.014279069388888887,0.24064430555555535,0.34454627777777763,-1.438494861111111,-0.013192726504166662,0.567953972222222,0.13317846805555558,0.034608136111111104,-0.005591516180555555,0.03113765277777778,-0.5815452916666666,-0.8313578611111115,0.10814473750000002,0.009574408986111107,-0.03062523194444446,-1.1408718055555562,-0.3251880277777776,0.00735536291666667
8,226801.0,113400.0,88.54200000000019,8.120803333333328,2.3320837500000007,-6.819555694444447e-09,8.463108611111112,290.89000000000163,0.1532272361111111,0.4222150277777779,0.03933617638888889,-0.1063093472222222,0.03933617638888889,0.24257015277777783,-0.015571912361111108,-0.1063093472222222,-0.015571912361111108,0.14588559722222216,0.0004022233472222218,7.31207291666666e-05,-0.00017282841666666648,-0.0718502597222222,2.372621666666668,3.357244861111107,-0.24075849027777763,-0.012866547666666665,0.07890510416666663,0.8499881111111112,0.2345957499999999,-0.013339388055555552,-0.011513911763888898,0.21637793333333336,0.3081495236111111,-1.4161622222222223,-0.011917123601388885,0.5537924305555555,0.12096448472222214,0.030824193055555556,-0.005503614816666664,0.02725010000000003,-0.5881421111111113,-0.8360775555555559,0.09972368472222219,0.009583606944444451,-0.026744202916666657,-1.1757063888888877,-0.3311835416666666,0.009035799861111115
9,226801.0,113400.0,98.95800000000001,8.219833333333339,2.3428744444444445,-7.284471250000002e-09,8.560617500000003,290.8901388888905,0.14606845833333335,0.40084854166666634,0.03560129083333334,-0.10473329027777772,0.03560129083333334,0.23308534722222216,-0.013860100833333338,-0.10473329027777772,-0.013860100833333338,0.14667400000000005,0.0004212197500000002,7.010487458333336e-05,-0.00019439326388888875,-0.06210229861111111,2.2940869444444454,3.2331962500000007,-0.22164224444444444,-0.012237825833333334,0.07118683611111111,0.8478191944444452,0.23230172222222206,-0.013085310833333334,-0.009040625138888887,0.20036389305555544,0.2837883944444443,-1.380733888888889,-0.01074265454861111,0.535329152777778,0.10854459999999996,0.027089247638888914,-0.0053901048013888925,0.02403240833333333,-0.5914852777777775,-0.8368721666666668,0.09088353333333332,0.00942830902777777,-0.023051068891666693,-1.1954666666666676,-0.3334478333333335,0.010195712361111112
