# f, Suu, Svv, Sww
2.742465362091129830e-02 7.914460720054686260e-02 2.325955757571849802e-01 1.941777342798409536e-02
2.771032709612912537e-02 7.119604928686254497e-02 9.345020976121863610e-02 1.301281968417548202e-02
2.799600057134694897e-02 6.166628213828789090e-02 4.236817801417596535e-02 2.071479398745252123e-02
2.828167404656477604e-02 4.716260442118365426e-02 4.163380177646219121e-02 1.611698700979085144e-02
2.856734752178260311e-02 4.572756119738980579e-02 3.353349276597763357e-02 2.608698391524589405e-02
2.885302099700043019e-02 3.124168533957235108e-02 3.713443859921715384e-02 2.276099993531554080e-02
2.913869447221825379e-02 2.584801059651641378e-02 4.921824273297759067e-02 1.484560692330768455e-02
2.942436794743608086e-02 1.891361921572137783e-02 1.308306309247989421e-02 1.065973669839708274e-02
2.971004142265390793e-02 2.283181700134220490e-02 2.488685086823295978e-02 1.296277346716799041e-02
2.999571489787173154e-02 4.890232647558946655e-02 3.754668462367701659e-02 9.239652036451320369e-03
3.028138837308955861e-02 2.764296077212372721e-02 1.710833975266316809e-02 1.556906886524182625e-02
3.056706184830738568e-02 2.421092931328793982e-02 3.387015508187868340e-02 1.710188517215298701e-02
3.085273532352520928e-02 4.356378997716135043e-02 3.970287244806088717e-02 1.441853856573905614e-02
3.113840879874303635e-02 2.478040805628184406e-02 1.986900702079889836e-02 1.559330231748783623e-02
3.142408227396085996e-02 3.304042609938414449e-02 1.918878424239314068e-02 2.806660325486757743e-02
3.170975574917869050e-02 7.430214366270475324e-02 1.948986708090726799e-02 2.127254637989714134e-02
3.199542922439651410e-02 3.211031338924148076e-02 1.177882380946038490e-02 2.758632906394484566e-02
3.228110269961433770e-02 3.514461520039819514e-02 1.613384472219727209e-02 3.611416345862536459e-02
3.256677617483216824e-02 4.063126542255590667e-02 2.696851296260117936e-02 3.121598138946876308e-02
3.285244965004999185e-02 2.873006488277756593e-02 1.520309585048277602e-02 2.693598072693739048e-02
3.313812312526781545e-02 2.026618482361659465e-02 1.934579681619717773e-02 2.230048413941589092e-02
3.342379660048564599e-02 3.897770937894115550e-02 2.217603789039885795e-02 2.935420580584813255e-02
3.370947007570346959e-02 5.227807075397318537e-02 1.978262419573769554e-02 1.745875499656258240e-02
3.399514355092130014e-02 4.099910080167529919e-02 1.276653104648191837e-02 3.058573386342101907e-02
3.428081702613912374e-02 4.326818942908646631e-02 1.171380674212699549e-02 4.360289353386735678e-02
3.456649050135694734e-02 2.777336339426854026e-02 6.779112023163928573e-03 2.926626075378214314e-02
3.485216397657477788e-02 1.638187858783328454e-02 2.317460497217614310e-02 2.618084911095889047e-02
3.513783745179260148e-02 3.567949662016390439e-02 1.959457448521311276e-02 2.649026582514979813e-02
3.542351092701042509e-02 1.937207105300447346e-02 1.444629483250943654e-02 2.267905751111918417e-02
3.570918440222825563e-02 4.017678653131499800e-02 3.304527711005501162e-02 4.263616358496846726e-02
3.599485787744607923e-02 2.886325269378795313e-02 1.381205394568334188e-02 2.637141746920263624e-02
3.628053135266390283e-02 4.758815796161645212e-02 3.088572985289478323e-02 6.697386765162659239e-02
3.656620482788173337e-02 2.712925686981999818e-02 2.690281816390936720e-02 7.538511926415483733e-02
3.685187830309955698e-02 4.520674208673561983e-02 3.489282185575133532e-02 5.618288881840790422e-02
3.713755177831738058e-02 5.841777440673592836e-02 4.291200988759840546e-02 6.388024337086573023e-02
3.742322525353521112e-02 1.617460698436780364e-02 2.207175825374649292e-02 4.037695859244631869e-02
