,u,v,w,hvelmag,theta,mueff,u'theta'_r,v'theta'_r,w'theta'_r,u'u'_r,u'v'_r,u'w'_r,v'v'_r,v'w'_r,w'w'_r,u'u'u'_r,v'v'v'_r,w'w'w'_r,z
0,4.7371199933060355,1.6248324793041764,1.4930163169683732e-09,5.023868618709108,290.87684620323245,0.0,0.00011620787168282151,4.506536359490445e-05,-4.0444192951691914e-06,0.3934162747109478,0.06475231802552092,-0.01788850634300275,0.1786527491793787,-0.005070903175417789,0.009384662597500015,0.061089272739627,0.021791000536467417,0.0005053985467646864,5.208333333333333
1,6.1708169763166065,2.060625584396519,2.1063303032818736e-09,6.52427932128251,290.8769512880993,0.0,0.00022757339237259097,7.46790544149209e-05,-2.7285148621961523e-05,0.740135101940949,0.13351344429054077,-0.09104800601824685,0.27562667522721,-0.024962766706982532,0.04684154766961825,-0.06500745686774125,0.01881752612363019,0.003491990347520219,15.625
2,6.7256927853320745,2.213893990106762,2.1476849351894057e-09,7.0995588496325945,290.87713808106116,0.0,0.0003054859516493665,9.513154501454505e-05,-5.93224706663284e-05,0.684071201744138,0.10528704398818291,-0.10072400098706112,0.29068778902103654,-0.02613156216625761,0.08057450216769232,-0.10135802148202232,0.008964259075032148,0.002177969982725177,26.041666666666664
3,7.069260948787204,2.2925331433391842,1.7368490150566647e-09,7.44986946634337,290.8773404101659,0.0,0.00036445331655057914,0.00010500400053185436,-9.133465277870154e-05,0.6080224296081597,0.08003211862100953,-0.10529455337722579,0.28444192197591583,-0.025469236560112376,0.10535748958092295,-0.10727198133454934,-0.0025839810377574473,0.0017941731214013237,36.45833333333333
4,7.309608038882587,2.3387359650966593,1.115932262568717e-09,7.691780015002464,290.87754223161824,0.0,0.00039856752954773006,0.00010777652650620056,-0.00012529118604716355,0.5390392851145667,0.062371971975989864,-0.10561427523933142,0.2722677344158828,-0.02381252850321762,0.12133815710618624,-0.0981243186770466,-0.00873918782248148,0.0033554993641023633,46.875
5,7.498666973743954,2.3708519607687206,3.510139236229372e-10,7.880664855626438,290.87775431346046,0.0,0.0004220060398941445,0.00010736434617851364,-0.00015566128063530024,0.48928648099497296,0.049824758876133114,-0.10523656128972143,0.25912296141477814,-0.02191099862767714,0.13134639221273486,-0.08548954672451223,-0.010506508244578648,0.005224154226511905,57.291666666666664
6,7.653842202465473,2.3949635661636552,-3.865841083210814e-10,8.035095746668196,290.8779462784574,0.0,0.00044594291778293717,0.00010372349922134444,-0.0001865458227457579,0.45286396079048774,0.04027901041873171,-0.10393482246629368,0.24785049120371286,-0.019896153285000044,0.13718102063773993,-0.07277361187950476,-0.010672872994042298,0.006783586108456513,67.70833333333333
7,7.787889996975942,2.414503816837957,-1.0730578886822092e-09,8.16818772406611,290.87816907587353,0.0,0.00047114880734967313,9.805118774613097e-05,-0.00021562071484858714,0.4250073706047141,0.03276266316157524,-0.10228201691150797,0.23798998688318615,-0.01796180420148967,0.1401186821728934,-0.06144660770132343,-0.010500951717307317,0.008059484242136587,78.125
8,7.907470948342568,2.429771527159056,-1.5549090956101445e-09,8.286343910469126,290.87836453971386,0.0,0.0004928364078573515,9.284028511937823e-05,-0.0002440535816433492,0.40282399156921084,0.02697005685748597,-0.10024700240926666,0.22942951933099304,-0.016048970177091313,0.14098688852553926,-0.05369173540422187,-0.010594567759274554,0.009092134871990978,88.54166666666666
9,8.01683928868561,2.44194127940659,-1.981281507549743e-09,8.393925859304318,290.8786109440576,0.0,0.0005183448440147256,8.887244412655737e-05,-0.000273504120398111,0.3850788843578734,0.022818008883292964,-0.0980547968939775,0.22161229349672348,-0.014166372839683803,0.1403909716539062,-0.047863835012239356,-0.010519220576160462,0.00983916282415836,98.95833333333333
