# z, uu, uv, uw, vv, vw, ww, tke
2.187500000000000000e+02 5.571000564921386733e-01 3.151243309808066800e-02 -1.215410999597529990e-01 1.547308916830038850e-01 -3.216453727598411836e-03 1.322326154178407598e-01 4.220317817964917007e-01
2.291666669999999897e+02 5.494723387648828838e-01 2.833513270550287386e-02 -1.202642505405430995e-01 1.459519114085899849e-01 -2.712117503697406267e-03 1.320127721459493642e-01 4.137185111597111442e-01
2.395833330000000103e+02 5.424819408857156633e-01 2.522601586421639383e-02 -1.177705878806753204e-01 1.392911666577520968e-01 -2.188789731911658463e-03 1.303629655962775524e-01 4.060680365698726701e-01
2.500000000000000000e+02 5.347884387534138639e-01 2.187779636652201556e-02 -1.163347959978836554e-01 1.332530650167669251e-01 -1.704072809223880014e-03 1.301135139391657314e-01 3.990775088546732463e-01
2.604166670000000181e+02 5.294476791273817762e-01 1.788719748234861642e-02 -1.137739855321995841e-01 1.279006555493224506e-01 -1.281863708939620173e-03 1.287962449054245728e-01 3.930722897910643443e-01
2.708333329999999819e+02 5.232778116758756148e-01 1.410900472118958339e-02 -1.122012162742033192e-01 1.224172826451948026e-01 -7.645582632277194953e-04 1.284913176667953627e-01 3.870932059939328762e-01
2.812500000000000000e+02 5.155677440761868846e-01 9.324773696991309896e-03 -1.097376790101971672e-01 1.173982147673812704e-01 -3.785473936098066603e-04 1.273255693477972350e-01 3.801457640956826811e-01
2.916666670000000181e+02 5.084521279290101781e-01 5.041096861251665590e-03 -1.080070558315921192e-01 1.136545123321204553e-01 1.308914955857447553e-04 1.272342066153145101e-01 3.746704234382225440e-01
3.020833329999999819e+02 5.019431821486065592e-01 3.368529071217412816e-04 -1.054531529564339959e-01 1.107308159497927269e-01 6.217417886754624846e-04 1.260491281574015188e-01 3.693615631279004163e-01
3.125000000000000000e+02 4.943430404868418560e-01 -3.770964829607928708e-03 -1.036450940157702116e-01 1.080399413920655055e-01 1.057332814419239099e-03 1.261370173874656608e-01 3.642599996331865042e-01
3.229166670000000181e+02 4.870087802956493128e-01 -7.743803380119490196e-03 -1.010993933486397656e-01 1.054503566528065261e-01 1.582787715748968770e-03 1.248905637184196393e-01 3.586748503334377669e-01
3.333333329999999819e+02 4.792633838678924119e-01 -1.113480644296587288e-02 -9.922023486421630012e-02 1.028477658838791997e-01 2.052898286639714184e-03 1.247711117383139418e-01 3.534411307450427420e-01
3.437500000000000000e+02 4.723536330901046409e-01 -1.463630406753449811e-02 -9.659059465697222846e-02 1.018268862083206716e-01 2.529825004081232183e-03 1.235958763202738980e-01 3.488881978093495984e-01
3.541666670000000181e+02 4.651417943410088296e-01 -1.709902924576364031e-02 -9.460265771516249145e-02 1.004298511458086990e-01 2.948241092154219468e-03 1.230640034599932292e-01 3.443178244734053650e-01
3.645833329999999819e+02 4.582610457764075274e-01 -2.034095711203154355e-02 -9.200903912635831350e-02 9.975203453024350519e-02 3.448835847496428859e-03 1.215817392720582452e-01 3.397974097893546319e-01
3.750000000000000000e+02 4.510656797794044270e-01 -2.282086034205242642e-02 -8.989013186628672103e-02 9.950902711336886974e-02 3.807195656254879195e-03 1.206991150218995890e-01 3.356369109573364429e-01
3.854166670000000181e+02 4.446422744011508388e-01 -2.555321473647581207e-02 -8.728309712948362220e-02 9.969648299271459402e-02 4.186057981787321552e-03 1.192342453687575271e-01 3.317865013813114383e-01
3.958333329999999819e+02 4.380121652832474899e-01 -2.723066382561331600e-02 -8.509444897431690802e-02 1.003019678442559209e-01 4.511839177737040490e-03 1.179422714874799744e-01 3.281282023074916787e-01
4.062500000000000000e+02 4.318850593825615536e-01 -2.969644169884397278e-02 -8.245301784307947079e-02 1.012309615889258468e-01 4.784064483211030415e-03 1.163662004292092961e-01 3.247411107003483344e-01
4.166666670000000181e+02 4.230527679714978229e-01 -3.139467752412306717e-02 -8.021818033566559258e-02 1.020665711418080740e-01 5.184780597303262351e-03 1.149529850365897249e-01 3.200361620749477831e-01
4.270833329999999819e+02 4.162834273883582181e-01 -3.312476807467797796e-02 -7.757037662933981281e-02 1.030667595984416096e-01 5.491019024677442142e-03 1.130336912670219657e-01 3.161919391269109036e-01
4.375000000000000000e+02 4.110993013183551481e-01 -3.475709947561490126e-02 -7.536020792561155812e-02 1.040137293259238982e-01 5.813572526018491275e-03 1.113151281981282492e-01 3.132140794212036616e-01
4.479166670000000181e+02 4.031284502459950847e-01 -3.613043581882301875e-02 -7.270833471206449017e-02 1.052326321568557710e-01 6.113950404514950990e-03 1.089552062084308687e-01 3.086581443056408691e-01
4.583333329999999819e+02 3.959414628508527989e-01 -3.642340236351736260e-02 -7.048061126840055035e-02 1.067567730920947755e-01 6.425398658969138505e-03 1.069521152541635239e-01 3.048251755985555422e-01
4.687500000000000000e+02 3.887748491063405809e-01 -3.606339467344828187e-02 -6.787022850559297493e-02 1.079147731812926947e-01 6.696531148117279217e-03 1.044512504493791405e-01 3.005704363685062219e-01
4.791666670000000181e+02 3.827773184749140301e-01 -3.521886745873527985e-02 -6.561243869850479082e-02 1.093644486402053639e-01 7.048906538722619214e-03 1.023178307041364143e-01 2.972297989096278625e-01
4.895833329999999819e+02 3.768167916276599638e-01 -3.395024432417306781e-02 -6.304743958972508500e-02 1.107511791857224842e-01 7.245893451921983121e-03 9.966586380280352542e-02 2.936169173080929728e-01
5.000000000000000000e+02 3.708596762023253501e-01 -3.207171123977514693e-02 -6.081231973495630772e-02 1.124479772146380063e-01 7.527900968104092247e-03 9.746545717157077682e-02 2.903865552942670458e-01
5.104166670000000181e+02 3.656604347282437772e-01 -3.090932349361412423e-02 -5.822988134553797046e-02 1.140447915532186440e-01 7.675812628714184620e-03 9.482695975476021499e-02 2.872660930181112904e-01
5.208333330000000387e+02 3.611957181878012735e-01 -2.927947735907768592e-02 -5.604741473001084717e-02 1.155701212341446182e-01 7.962516547525524263e-03 9.228174241218262130e-02 2.845237909170642565e-01
5.312500000000000000e+02 3.576006346006649905e-01 -2.768462141188575767e-02 -5.347850814210025616e-02 1.176365704759512881e-01 8.101111634460325672e-03 8.944811969793763085e-02 2.823426623872769547e-01
5.416666669999999613e+02 3.543372380028117496e-01 -2.516443740394895545e-02 -5.137294009326793393e-02 1.193066114976156500e-01 8.329116978295641668e-03 8.664524254488635557e-02 2.801445460226568707e-01
5.520833330000000387e+02 3.526209933910067762e-01 -2.191922421446337171e-02 -4.885380418126794577e-02 1.209932756030751982e-01 8.443972767929481399e-03 8.347511165594195814e-02 2.785446903250119455e-01
5.625000000000000000e+02 3.503132861164714451e-01 -1.922262296758878164e-02 -4.679457522390025742e-02 1.223053328376318694e-01 8.567236065074835052e-03 8.057369525761694240e-02 2.765961571058601076e-01
5.729166669999999613e+02 3.486711097239542090e-01 -1.623556364881883693e-02 -4.438130607475413575e-02 1.233232619158113330e-01 8.611195018865073006e-03 7.754953865737709839e-02 2.747719551485713341e-01
5.833333330000000387e+02 3.462369178257936886e-01 -1.302006563158822350e-02 -4.234518464545638378e-02 1.251237906208264583e-01 8.714878813709164840e-03 7.450083177493119213e-02 2.729307701107756556e-01
