# z, Tu, Tv, Tw
1.625000000000000000e+03 -1.680471235900427127e-04 6.098807715009318606e-04 -2.114622423762368202e-05
1.635416666999999961e+03 -7.333007381602228225e-05 6.761498528735911074e-04 -1.522548525203230968e-05
1.645833333000000039e+03 4.359253280682650976e-05 7.508028555881621257e-04 -6.935855847472353409e-06
1.656250000000000000e+03 1.663664732970460179e-04 8.357516173343134715e-04 2.181881740815542869e-06
1.666666666999999961e+03 2.770545815380387467e-04 9.323325897856153286e-04 1.214479939786401299e-05
1.677083333000000039e+03 3.630827716547300001e-04 1.039805039555766848e-03 2.109253026558615109e-05
1.687500000000000000e+03 4.175455965321362025e-04 1.156998540901682179e-03 2.876881714128276584e-05
1.697916666999999961e+03 4.412881781046785958e-04 1.280125667373731161e-03 3.397770701076521018e-05
1.708333333000000039e+03 4.385871312562825293e-04 1.403807011432615460e-03 3.711201733770181027e-05
1.718750000000000000e+03 4.158034149450410720e-04 1.520192777902474928e-03 3.783782820503684276e-05
1.729166666999999961e+03 3.760192447158614048e-04 1.624591251183650801e-03 3.738993521905718240e-05
1.739583333000000039e+03 3.205055093301388915e-04 1.714328958848770987e-03 3.519103611288847274e-05
1.750000000000000000e+03 2.480655571313011127e-04 1.792213981875994538e-03 3.328272735651646518e-05
1.760416666999999961e+03 1.600879238392217843e-04 1.859819826918492200e-03 2.954892600957753239e-05
1.770833333000000039e+03 5.913359458708732053e-05 1.921122864826580075e-03 2.748159488773408471e-05
1.781250000000000000e+03 -4.852094548820357479e-05 1.975692705380140829e-03 2.258078386298592770e-05
1.791666666999999961e+03 -1.579366970826691081e-04 2.025306361050219391e-03 2.115136522040947191e-05
1.802083333000000039e+03 -2.636659575185894321e-04 2.067531599643425682e-03 1.538556832245194098e-05
1.812500000000000000e+03 -3.645725220915589150e-04 2.103280285199010582e-03 1.535862392187645173e-05
1.822916666999999961e+03 -4.591013381513814697e-04 2.129472095248461771e-03 8.808173092256737398e-06
1.833333333000000039e+03 -5.490197977688480351e-04 2.145592153772136502e-03 1.038618644768162122e-05
1.843750000000000000e+03 -6.326734196198597390e-04 2.147615044453064347e-03 3.031101061105732173e-06
1.854166666999999961e+03 -7.115246693696993712e-04 2.134087848494076439e-03 6.373802898354753488e-06
1.864583333000000039e+03 -7.840426789167053920e-04 2.101898594510194160e-03 -1.308451838156569425e-06
1.875000000000000000e+03 -8.537398151877874505e-04 2.049412197683357119e-03 3.550417849952281639e-06
1.885416666999999961e+03 -9.193390627227889054e-04 1.975341818516522172e-03 -4.634517078271889701e-06
1.895833333000000039e+03 -9.814601766722969890e-04 1.879001596897029568e-03 5.047710695335142893e-07
1.906250000000000000e+03 -1.034545442913920596e-03 1.761766750044207628e-03 -8.397563353103760917e-06
1.916666666999999961e+03 -1.074086546407594656e-03 1.623659994776726441e-03 -3.155761179991238849e-06
1.927083333000000039e+03 -1.093244257132192218e-03 1.468460715121097529e-03 -1.139662645625596543e-05
1.937500000000000000e+03 -1.084579907708176647e-03 1.297470701229933064e-03 -5.132008042230491541e-06
1.947916666999999961e+03 -1.044020487602716121e-03 1.115224470545992524e-03 -1.118850009291740997e-05
1.958333333000000039e+03 -9.593989153570545636e-04 9.210306757609837197e-04 -4.183217722167404781e-06
1.968750000000000000e+03 -8.256193142223524403e-04 7.160592158971873988e-04 -7.826151568552790848e-06
1.979166666999999961e+03 -6.252427402010753751e-04 4.982707609038609540e-04 -1.893729417999028834e-06
1.989583333000000039e+03 -3.632310003106593139e-04 2.630839374846817374e-04 -9.066913271442125713e-07
2.000000000000000000e+03 -1.912979206934690231e-04 1.313546683583366958e-04 3.511475471836926074e-07
