# z T
4.000000000000000000e+01 2.959100512531255731e+02
1.200000000000000000e+02 2.973100322112842377e+02
2.000000000000000000e+02 2.978499779273312242e+02
2.800000000000000000e+02 2.983800636940333675e+02
3.600000000000000000e+02 2.989261879680135507e+02
4.400000000000000000e+02 2.994300244007431502e+02
5.200000000000000000e+02 2.998338677090248439e+02
6.000000000000000000e+02 3.001407167822836755e+02
6.800000000000000000e+02 3.004000186607049727e+02
7.600000000000000000e+02 3.006195941768131092e+02
8.400000000000000000e+02 3.007881363267057964e+02
9.200000000000000000e+02 3.009921547995674018e+02
1.000000000000000000e+03 3.012101160864825715e+02
1.080000000000000000e+03 3.014498970385938605e+02
1.160000000000000000e+03 3.016919250756476458e+02
1.240000000000000000e+03 3.019479647415541308e+02
1.320000000000000000e+03 3.022039970564588884e+02
1.400000000000000000e+03 3.024600512119297946e+02
1.480000000000000000e+03 3.027320619594773348e+02
1.560000000000000000e+03 3.030040699297318270e+02
1.640000000000000000e+03 3.032840108353620963e+02
1.720000000000000000e+03 3.035740236670236527e+02
1.800000000000000000e+03 3.039200620899931664e+02
1.880000000000000000e+03 3.042780414059367899e+02
1.960000000000000000e+03 3.046340153272363409e+02
2.040000000000000000e+03 3.049860513484005651e+02
2.120000000000000000e+03 3.053300374800286932e+02
2.200000000000000000e+03 3.056400045391827689e+02
2.280000000000000000e+03 3.059440017403633192e+02
2.360000000000000000e+03 3.062479936216853957e+02
2.440000000000000000e+03 3.065440173741253602e+02
2.520000000000000000e+03 3.068460176755698399e+02
