# z, u, v, w, u_mag
0.000000000000000000e+00 3.930857337547381647e+00 1.373563166297674387e+00 -1.681577585449854639e-02 4.163964210974605784e+00
1.041666700000000034e+01 5.630952994013914470e+00 1.959698293956595228e+00 1.592891815400827860e-02 5.962239743130446357e+00
2.083333299999999966e+01 6.464615069992182939e+00 2.211329884578012273e+00 -1.423913509773677526e-02 6.832381035522402613e+00
3.125000000000000000e+01 6.831380008106659574e+00 2.308477574386253561e+00 1.225648146339018869e-02 7.210892576369547946e+00
4.166666699999999679e+01 7.111348943399223188e+00 2.368896198476038606e+00 -1.037646372820820624e-02 7.495536049205485440e+00
5.208333300000000321e+01 7.333052384731149509e+00 2.411590638206623893e+00 8.970805456760301555e-03 7.719424017298672780e+00
6.250000000000000000e+01 7.521043618547392562e+00 2.440179023740557618e+00 -7.741571481550757645e-03 7.906998843551507505e+00
7.291666700000000390e+01 7.693714331878267032e+00 2.459515693677435166e+00 6.746902520492470239e-03 8.077283156401554365e+00
8.333333299999999610e+01 7.844119700924816918e+00 2.474101021669675493e+00 -5.889429358962168862e-03 8.225048597621897883e+00
9.375000000000000000e+01 7.988517533468496801e+00 2.485534408238008197e+00 5.157153902956577822e-03 8.366260829863305659e+00
1.041666670000000039e+02 8.118929864292127263e+00 2.491387559009940578e+00 -4.529007632804636641e-03 8.492588216933294021e+00
1.145833329999999961e+02 8.243876653078819672e+00 2.495509164242572187e+00 3.997548488894337414e-03 8.613308553650602661e+00
1.250000000000000000e+02 8.358712637628610054e+00 2.493358416993110005e+00 -3.536141322506975142e-03 8.722667347683165318e+00
1.354166669999999897e+02 8.470271059417521897e+00 2.489166027944582638e+00 3.138211924594360835e-03 8.828445456763807542e+00
1.458333330000000103e+02 8.575405054509516845e+00 2.483040755245622844e+00 -2.790193559912942673e-03 8.927657644998392428e+00
1.562500000000000000e+02 8.675924803046209277e+00 2.478491244349779965e+00 2.482891072949190182e-03 9.023003723881476645e+00
1.666666669999999897e+02 8.771869898245272523e+00 2.471128081228939344e+00 -2.224124691544909077e-03 9.113296903553093742e+00
1.770833330000000103e+02 8.863974788058079923e+00 2.462422908891895190e+00 1.996850282057623886e-03 9.199651059305235634e+00
1.875000000000000000e+02 8.953258505612096130e+00 2.451672018484003068e+00 -1.794990145811581556e-03 9.282862531381276483e+00
1.979166669999999897e+02 9.038371974322148006e+00 2.437974183541535833e+00 1.618549584481243078e-03 9.361404204793734252e+00
2.083333330000000103e+02 9.121570102202278818e+00 2.422106049126967697e+00 -1.454984924268791372e-03 9.437671373786495010e+00
2.187500000000000000e+02 9.201778562106552428e+00 2.403207444438805407e+00 1.306062892646423553e-03 9.510422516000542004e+00
2.291666669999999897e+02 9.278674878132870063e+00 2.384299009021780158e+00 -1.172081164677239891e-03 9.580119552087570156e+00
2.395833330000000103e+02 9.353736227680755633e+00 2.363969580392584646e+00 1.056004629028117064e-03 9.647835752602480497e+00
2.500000000000000000e+02 9.426371792497022284e+00 2.340797832080430574e+00 -9.578034308619972487e-04 9.712662898425096003e+00
2.604166670000000181e+02 9.495623140314954469e+00 2.318726543695307729e+00 8.707283385452115878e-04 9.774627991155973916e+00
