# z, u, v, w, u_mag
1.187500000000000000e+03 9.995274410509228602e+00 3.685855878044044624e-03 4.400673052802678211e-06 9.995275090108002303e+00
1.197916666999999961e+03 9.995317379736279761e+00 3.654708490158219570e-03 -4.879895557153355678e-06 9.995318047895029423e+00
1.208333333000000039e+03 9.995266928749957813e+00 3.609056479424455673e-03 5.416361606809175860e-06 9.995267580324231460e+00
1.218750000000000000e+03 9.995144669725691600e+00 3.545441263264618309e-03 -5.871585026287025088e-06 9.995145298540393242e+00
1.229166666999999961e+03 9.994992831282202062e+00 3.464982282724459427e-03 6.595040772873720045e-06 9.994993431890204505e+00
1.239583333000000039e+03 9.994865533909829125e+00 3.374766875110507026e-03 -7.146514448400915936e-06 9.994866103657475520e+00
1.250000000000000000e+03 9.994812045977145232e+00 3.286180739668112007e-03 7.895785928655941100e-06 9.994812586209711469e+00
1.260416666999999961e+03 9.994861331367994595e+00 3.206410017704842182e-03 -8.744140322871286257e-06 9.994861845689356983e+00
1.270833333000000039e+03 9.995009930826160627e+00 3.142893810590182118e-03 9.460361967366159511e-06 9.995010424966277895e+00
1.281250000000000000e+03 9.995223387189129838e+00 3.102916225889456713e-03 -1.057056008462915120e-05 9.995223868829221203e+00
1.291666666999999961e+03 9.995444480509906526e+00 3.095694200584898480e-03 1.145798697587412032e-05 9.995444959900975590e+00
1.302083333000000039e+03 9.995612343548364365e+00 3.121804256029825104e-03 -1.265393354054052412e-05 9.995612831053350078e+00
1.312500000000000000e+03 9.995680014829240179e+00 3.175155956312626995e-03 1.389609714477846525e-05 9.995680519137509989e+00
1.322916666999999961e+03 9.995630474669088272e+00 3.240086568445857754e-03 -1.515724455042285954e-05 9.995630999818075679e+00
1.333333333000000039e+03 9.995480094155995587e+00 3.303572029058834611e-03 1.676692891521027032e-05 9.995480640096204183e+00
1.343750000000000000e+03 9.995275920228730016e+00 3.352145676941338873e-03 -1.822307420452277019e-05 9.995276482354903180e+00
1.354166666999999961e+03 9.995077820685686731e+00 3.383347553057088931e-03 2.011378219057428961e-05 9.995078393339802858e+00
1.364583333000000039e+03 9.994939942156525703e+00 3.397135354133870577e-03 -2.196532849485710991e-05 9.994940519499202480e+00
1.375000000000000000e+03 9.994889024859102022e+00 3.406417188939914620e-03 2.408970813749517135e-05 9.994889605368701524e+00
1.385416666999999961e+03 9.994923174023133683e+00 3.418087932318175995e-03 -2.641128087962857856e-05 9.994923758520990020e+00
1.395833333000000039e+03 9.995015730217826189e+00 3.441008481991899258e-03 2.890536834379765801e-05 9.995016322581804502e+00
1.406250000000000000e+03 9.995134333870327126e+00 3.466802017440958131e-03 -3.168732905943816877e-05 9.995134935148886512e+00
1.416666666999999961e+03 9.995246172924691308e+00 3.492334776719045134e-03 3.467318638401629868e-05 9.995246783094957621e+00
1.427083333000000039e+03 9.995330919283357929e+00 3.505819679512440102e-03 -3.801283177390612751e-05 9.995331534181270072e+00
1.437500000000000000e+03 9.995376113584848454e+00 3.513631932434843012e-03 4.159018264359217191e-05 9.995376731237380241e+00
1.447916666999999961e+03 9.995387473420933588e+00 3.514071557216564678e-03 -4.556347830260081098e-05 9.995388091244633344e+00
1.458333333000000039e+03 9.995380080038517079e+00 3.519503992079255333e-03 4.989201636517127193e-05 9.995380699794699453e+00
1.468750000000000000e+03 9.995382832746136259e+00 3.527349347663686404e-03 -5.464315641537986686e-05 9.995383455292520480e+00
1.479166666999999961e+03 9.995416831753489717e+00 3.551879389636485376e-03 5.980742661659171536e-05 9.995417463013993142e+00
1.489583333000000039e+03 9.995491482996923693e+00 3.587173932304178661e-03 -6.558949756346872347e-05 9.995492126893145368e+00
1.500000000000000000e+03 9.995581061633229680e+00 3.640095127777051402e-03 7.173235379672088013e-05 9.995581724698116233e+00
1.510416666999999961e+03 9.995643562529783921e+00 3.689380481564271015e-03 -7.870321528065115670e-05 9.995644243712639820e+00
1.520833333000000039e+03 9.995622385414339561e+00 3.734670029283574093e-03 8.619653709566457364e-05 9.995623083479404869e+00
1.531250000000000000e+03 9.995494431908262811e+00 3.754819381623976295e-03 -9.444480880631690289e-05 9.995495137605615810e+00
1.541666666999999961e+03 9.995257729316346484e+00 3.762071309514143560e-03 1.036654963517704938e-04 9.995258437848679733e+00
1.552083333000000039e+03 9.994957341204990797e+00 3.749653671867494292e-03 -1.135344518579799888e-04 9.994958045199602736e+00
1.562500000000000000e+03 9.994632863097226760e+00 3.745826498253740193e-03 1.246991345592876827e-04 9.994633565812661047e+00
1.572916666999999961e+03 9.994340170204306872e+00 3.751900027263519420e-03 -1.367367849353818426e-04 9.994340875375936406e+00
1.583333333000000039e+03 9.994094603929525533e+00 3.801272382067429415e-03 1.501384309865573877e-04 9.994095327967736253e+00
1.593750000000000000e+03 9.993922387647073080e+00 3.884879473643903115e-03 -1.648686312708754788e-04 9.993923144080284260e+00
1.604166666999999961e+03 9.993801923626479677e+00 4.022323961276832831e-03 1.810119996395850221e-04 9.993802734721940695e+00
1.614583333000000039e+03 9.993741100369216923e+00 4.177896865837885283e-03 -1.989567679009038043e-04 9.993741975637300712e+00
1.625000000000000000e+03 9.993700003308381596e+00 4.353526421647336761e-03 2.185056276543261055e-04 9.993700953954094857e+00
1.635416666999999961e+03 9.993694918538579941e+00 4.489914964577229953e-03 -2.402556794911801829e-04 9.993695930029240060e+00
1.645833333000000039e+03 9.993682925896953506e+00 4.586996838060870135e-03 2.640123710361712349e-04 9.993683982076220218e+00
1.656250000000000000e+03 9.993694100501645750e+00 4.590983665084956596e-03 -2.902744779944796969e-04 9.993695159238733083e+00
1.666666666999999961e+03 9.993677929560480067e+00 4.541463864955163840e-03 3.191870572247028598e-04 9.993678966554741194e+00
1.677083333000000039e+03 9.993685399224604637e+00 4.422485084041994155e-03 -3.508716239865008113e-04 9.993686383920612926e+00
1.687500000000000000e+03 9.993671642056161986e+00 4.316343933553151713e-03 3.859220562558502614e-04 9.993672581638758601e+00
1.697916666999999961e+03 9.993712383141135192e+00 4.215761224601373251e-03 -4.242673956977209364e-04 9.993713281338123977e+00
1.708333333000000039e+03 9.993754395409890634e+00 4.194988324432115043e-03 4.665443707167362774e-04 9.993755286746079491e+00
1.718750000000000000e+03 9.993863136375152223e+00 4.202561015952013639e-03 -5.129642760216587393e-04 9.993864033158027738e+00
1.729166666999999961e+03 9.993945381983170506e+00 4.278021642533263481e-03 5.638754621931847981e-04 9.993946313518371483e+00
