# z, Tu, Tv, Tw
0.000000000000000000e+00 -8.258115703974102870e-03 -1.108737091658677223e-03 -4.645664277519222045e-05
1.041666700000000034e+01 -1.422120296552784567e-02 -1.908004745282714919e-03 1.125659622592435280e-03
2.083333299999999966e+01 -2.090687140693161389e-02 -2.472833127768652231e-03 3.521483317372194662e-03
3.125000000000000000e+01 -1.889674169761456496e-02 -1.610952447185639777e-03 4.042628421178745025e-03
4.166666699999999679e+01 -1.833493089343726790e-02 -1.052715153257012407e-03 4.229524745345675935e-03
5.208333300000000321e+01 -1.685518760088285800e-02 -6.398966479296990841e-04 4.214146683588436935e-03
6.250000000000000000e+01 -1.602888277755296423e-02 -3.820773434824707997e-04 4.233595537886138994e-03
7.291666700000000390e+01 -1.491545673085887050e-02 -1.869545067904354629e-04 4.172569883098079142e-03
8.333333299999999610e+01 -1.402440039779807857e-02 -9.219579028597182989e-05 4.138310976421703986e-03
9.375000000000000000e+01 -1.301323110829773373e-02 -2.448292184809809435e-05 4.069996164901253446e-03
1.041666670000000039e+02 -1.218709755826539488e-02 -4.254292017454493764e-07 4.015255452374665197e-03
1.145833329999999961e+02 -1.138795045731335991e-02 -6.294594722394069442e-08 3.933271205243073741e-03
1.250000000000000000e+02 -1.067401799123410266e-02 9.756364220305297464e-06 3.863358194877190236e-03
1.354166669999999897e+02 -1.000022397152276928e-02 -2.789571255374786118e-05 3.773788369802913260e-03
1.458333330000000103e+02 -9.399234231679289703e-03 -6.342308349087173345e-05 3.692020695641694706e-03
1.562500000000000000e+02 -8.794220220734417018e-03 -1.071050668632504222e-04 3.603372897984853229e-03
1.666666669999999897e+02 -8.244174087937684858e-03 -1.507330348735693999e-04 3.513668403651678228e-03
1.770833330000000103e+02 -7.698995387450698405e-03 -1.772565077244081554e-04 3.417805996930088717e-03
1.875000000000000000e+02 -7.227326221204369121e-03 -2.143026149027902076e-04 3.325033978120816355e-03
1.979166669999999897e+02 -6.791629315628995578e-03 -2.137869016525684065e-04 3.227901668245333235e-03
2.083333330000000103e+02 -6.396088043571586737e-03 -2.145939550361930428e-04 3.133960882832527439e-03
2.187500000000000000e+02 -6.036942685004254711e-03 -2.154400852806680363e-04 3.034015859448541564e-03
2.291666669999999897e+02 -5.716114446201964704e-03 -1.994539337037161126e-04 2.939775012702348662e-03
2.395833330000000103e+02 -5.405864418501412152e-03 -1.919762049599427146e-04 2.841822948300236438e-03
2.500000000000000000e+02 -5.142213173271494020e-03 -1.963993704286319021e-04 2.746207846200183784e-03
2.604166670000000181e+02 -4.890251397722301246e-03 -2.058354483505237507e-04 2.647711432161237860e-03
2.708333329999999819e+02 -4.638176562589283250e-03 -2.153769501390772581e-04 2.549162855515723150e-03
2.812500000000000000e+02 -4.396150203910830639e-03 -2.228231620498711933e-04 2.449640413457627834e-03
2.916666670000000181e+02 -4.155325624653743305e-03 -2.212126014399255411e-04 2.350020876093724884e-03
3.020833329999999819e+02 -3.913536035841408411e-03 -2.134495330267090565e-04 2.250585827872285741e-03
3.125000000000000000e+02 -3.692710857947676967e-03 -2.036417428691884835e-04 2.150410674876022856e-03
3.229166670000000181e+02 -3.459261263868616560e-03 -1.899362974521463072e-04 2.049886919462528146e-03
3.333333329999999819e+02 -3.243566443518375482e-03 -1.772317985066646504e-04 1.949013175362544021e-03
3.437500000000000000e+02 -3.027329603644154238e-03 -1.575476565162542983e-04 1.847291034874575921e-03
3.541666670000000181e+02 -2.831281124766557491e-03 -1.471963605311622618e-04 1.746217611598744083e-03
3.645833329999999819e+02 -2.639408330417059804e-03 -1.338468218468275635e-04 1.643706110347886631e-03
3.750000000000000000e+02 -2.455941877247987907e-03 -1.289152275335917754e-04 1.542945502693745131e-03
3.854166670000000181e+02 -2.272831457101555288e-03 -1.287501975725133480e-04 1.439760582407772832e-03
3.958333329999999819e+02 -2.096976234522319061e-03 -1.301399425209521360e-04 1.337190720096839399e-03
4.062500000000000000e+02 -1.933793398597995596e-03 -1.376461345322926172e-04 1.233933454448033016e-03
4.166666670000000181e+02 -1.787746971594306959e-03 -1.449853960256319743e-04 1.132992186983303173e-03
4.270833329999999819e+02 -1.642263089293799711e-03 -1.529908237308398426e-04 1.030074187275158886e-03
4.375000000000000000e+02 -1.499635272629625937e-03 -1.533979542538569719e-04 9.290880991960584912e-04
4.479166670000000181e+02 -1.362244167855553544e-03 -1.461747510866631336e-04 8.258918678072243395e-04
4.583333329999999819e+02 -1.223723694609443876e-03 -1.482078585514301440e-04 7.261196051872794181e-04
4.687500000000000000e+02 -1.081585926955155137e-03 -1.468373184905244846e-04 6.238014991237940529e-04
4.791666670000000181e+02 -9.462998443231325149e-04 -1.398488526147190138e-04 5.241341277760628355e-04
4.895833329999999819e+02 -8.013291491801686909e-04 -1.241956224041334536e-04 4.236533303508058105e-04
5.000000000000000000e+02 -6.629624797159294281e-04 -9.934625237792241452e-05 3.256581235503998284e-04
5.104166670000000181e+02 -5.135331142075630481e-04 -8.490411747216974013e-05 2.266153640701111874e-04
5.208333330000000387e+02 -3.530057842003013068e-04 -7.609632069298457614e-05 1.306524578580415554e-04
