# f, Suu, Svv, Sww
0.000000000000000000e+00 1.201753502314248712e+00 2.462774610801801434e-01 4.086136109917086479e-02
3.447681434235476861e-04 6.712041776428944218e+01 1.456830663503329681e+01 1.059347420759791492e+00
6.895362868470953721e-04 7.611468081190567148e+01 1.070517872834337858e+01 7.751015389032596126e-01
1.034304430270642896e-03 7.627132378316429140e+01 2.000724521319871130e+01 9.842409872711860297e-01
1.379072573694190744e-03 7.720619820684773060e+01 2.427193150386171894e+01 1.053646777473086216e+00
1.723840717117738376e-03 5.359005601051795509e+01 2.304936928930266760e+01 8.740074764671138530e-01
2.068608860541285791e-03 4.336172710671482378e+01 1.118227103214568885e+01 7.136927970064963489e-01
2.413377003964833640e-03 6.103454954681701139e+01 1.089467439994286835e+01 8.653087432350813346e-01
2.758145147388381489e-03 4.370187247716006596e+01 6.981669935260377713e+00 1.226971862118958922e+00
3.102913290811928904e-03 1.567075743461398574e+01 4.866561415145072900e+00 4.503531711249443292e-01
3.447681434235476752e-03 2.105960356416899160e+01 4.873254933102239228e+00 6.220732804662661986e-01
3.792449577659024167e-03 2.325602935608591437e+01 7.024383725195180617e+00 8.568383013761539102e-01
4.137217721082571582e-03 2.350856841839509670e+01 5.478734384262621937e+00 5.980493416975605214e-01
4.481985864506119431e-03 2.235620918174655358e+01 4.281344113717126199e+00 9.836268925468287794e-01
4.826754007929667280e-03 1.409461502237136621e+01 4.683562889446883482e+00 8.475963005822687579e-01
5.171522151353215128e-03 1.594824060319137260e+01 2.729537146065873277e+00 7.370852139481782750e-01
5.516290294776762977e-03 2.134355877806014234e+01 4.493196957633650790e+00 1.356325830390570086e+00
5.861058438200309958e-03 1.975322097270033339e+01 6.258099098003765626e+00 1.002705922146582607e+00
6.205826581623857807e-03 1.070347607438914217e+01 3.995069990327703824e+00 7.602684938204448128e-01
6.550594725047405656e-03 1.105846240193879737e+01 4.044596315489740412e+00 5.862604530972626016e-01
6.895362868470953505e-03 1.068784797842222822e+01 3.832929031572495315e+00 6.405267608439476623e-01
7.240131011894501353e-03 1.235130368214512941e+01 2.970259250524072137e+00 6.287576318273948583e-01
7.584899155318048335e-03 1.316924368840775195e+01 3.745978596923182025e+00 4.164572071815708654e-01
7.929667298741597051e-03 9.592693451820656136e+00 2.929161506858799502e+00 7.287955781775586894e-01
8.274435442165143165e-03 1.272967614294239880e+01 2.532579145893310901e+00 8.155120310641865711e-01
8.619203585588691013e-03 1.015887519778861936e+01 2.763384543105975144e+00 5.820308392653601448e-01
8.963971729012238862e-03 1.215242171325026455e+01 2.460610412316627915e+00 6.356431618102057479e-01
9.308739872435786711e-03 1.091219489734076298e+01 3.007161083436820981e+00 5.609907218667697926e-01
9.653508015859334560e-03 1.430172431383056164e+01 2.415108391218218298e+00 6.202679516851806740e-01
9.998276159282882408e-03 9.230394247656372286e+00 1.953060732232650754e+00 4.875003381565464200e-01
1.034304430270643026e-02 1.825423274055406253e+01 2.893559357367500251e+00 1.051658409007291572e+00
1.068781244612997811e-02 7.280529276187526655e+00 2.687808221501370110e+00 6.261393913256740884e-01
