# z, uT, vT, wT

# time = 0.0 hrs
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 -5.619576224960000451e-29 3.240283101910000165e-28 0.000000000000000000e+00
2.500000000000000000e+01 6.578613164470000277e-20 -1.718360826580000004e-19 0.000000000000000000e+00
3.500000000000000000e+01 2.460534076070000088e-29 6.714687859340000080e-29 0.000000000000000000e+00
4.500000000000000000e+01 -1.422970094850000080e-16 1.331243059880000111e-16 0.000000000000000000e+00
5.500000000000000000e+01 -7.853525559469999462e-17 1.697461147940000005e-16 0.000000000000000000e+00
6.500000000000000000e+01 1.527789461530000059e-28 1.947362056170000038e-29 0.000000000000000000e+00
7.500000000000000000e+01 1.768984824269999971e-28 -7.451723838669999492e-29 0.000000000000000000e+00
8.500000000000000000e+01 4.737250238239999750e-29 -6.045192654130000382e-28 0.000000000000000000e+00
9.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050000000000000000e+02 1.770560406389999884e-29 -9.763439259890000075e-29 0.000000000000000000e+00
1.150000000000000000e+02 1.615956410950000124e-29 -6.123140886710000234e-28 0.000000000000000000e+00
1.250000000000000000e+02 -3.240118978770000065e-29 -1.961275595139999984e-28 0.000000000000000000e+00
1.350000000000000000e+02 -6.812751433939999539e-30 -5.078942301100000025e-28 0.000000000000000000e+00
1.450000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+02 3.779017300459999900e-29 -8.786998911559999859e-32 0.000000000000000000e+00
1.650000000000000000e+02 -6.125350394450000178e-28 -6.053011377819999793e-27 0.000000000000000000e+00
1.750000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850000000000000000e+02 -2.495825935899999829e-28 -6.003577822210000333e-28 0.000000000000000000e+00
1.950000000000000000e+02 -1.402937400709999985e-28 -1.821730668490000096e-27 0.000000000000000000e+00
2.050000000000000000e+02 -3.151302588970000029e-28 -1.205202700230000070e-27 0.000000000000000000e+00
2.150000000000000000e+02 -8.780001720340000403e-29 9.738787151250000537e-29 0.000000000000000000e+00
2.250000000000000000e+02 -4.860453783119999766e-29 -2.254093496120000188e-28 0.000000000000000000e+00
2.350000000000000000e+02 -5.335068189270000078e-28 -2.961505081960000109e-27 0.000000000000000000e+00
2.450000000000000000e+02 -3.440232837060000242e-27 -7.935525177600000428e-27 0.000000000000000000e+00
2.550000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.650000000000000000e+02 -3.113646429520000189e-29 -3.954972927319999858e-28 0.000000000000000000e+00
2.750000000000000000e+02 -9.567707763540000824e-28 -1.504531746689999944e-27 0.000000000000000000e+00
2.850000000000000000e+02 -2.698266919879999838e-28 -1.802906688629999923e-27 0.000000000000000000e+00
2.950000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.050000000000000000e+02 -6.962791876990000328e-29 3.039207095159999881e-28 0.000000000000000000e+00
3.150000000000000000e+02 -9.569160259060000499e-28 -2.051709912119999966e-27 0.000000000000000000e+00
3.250000000000000000e+02 -8.471834805470000438e-27 -1.861309221919999978e-26 0.000000000000000000e+00
3.350000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.450000000000000000e+02 -2.217019696669999953e-27 -5.046814523789999649e-27 0.000000000000000000e+00
3.550000000000000000e+02 -9.087677628150000261e-28 -1.538784597819999884e-26 0.000000000000000000e+00
3.650000000000000000e+02 -1.166218795060000009e-26 -1.366054792600000098e-26 0.000000000000000000e+00
3.750000000000000000e+02 -5.856503360360000280e-27 9.000320523830000026e-27 0.000000000000000000e+00
3.850000000000000000e+02 -1.202073760340000074e-33 -1.602765013779999878e-33 0.000000000000000000e+00
3.950000000000000000e+02 1.226836479799999954e-26 -3.288764359470000233e-26 0.000000000000000000e+00
4.050000000000000000e+02 1.349198272529999971e-27 -2.319175330699999970e-26 0.000000000000000000e+00
4.150000000000000000e+02 4.159821325410000074e-27 1.481683930470000082e-27 0.000000000000000000e+00
4.250000000000000000e+02 2.079702603770000066e-27 9.151010086280000116e-27 0.000000000000000000e+00
4.350000000000000000e+02 -1.769716530580000013e-27 1.039418254809999996e-26 0.000000000000000000e+00
4.450000000000000000e+02 -6.892319300630000045e-27 -9.195756079939999816e-27 0.000000000000000000e+00
4.550000000000000000e+02 -1.648609622720000013e-26 -2.396749638200000045e-26 0.000000000000000000e+00
4.650000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.750000000000000000e+02 7.963444154159999485e-27 1.553519658039999929e-26 0.000000000000000000e+00
4.900000000000000000e+02 -2.221340951500000053e-27 -3.299769404850000295e-27 0.000000000000000000e+00
5.100000000000000000e+02 -1.193350711750000037e-28 -5.033599726249999706e-28 0.000000000000000000e+00
5.300000000000000000e+02 2.657294237319999811e-28 -1.611367854989999914e-28 0.000000000000000000e+00
5.500000000000000000e+02 -1.464720866600000028e-27 -2.651502245249999988e-27 0.000000000000000000e+00
5.700000000000000000e+02 -5.948045284120000084e-27 -1.092682163170000054e-26 0.000000000000000000e+00
5.900000000000000000e+02 1.374716996219999919e-27 2.364394941420000046e-27 0.000000000000000000e+00
6.100000000000000000e+02 8.573294238449999427e-28 2.504253819289999897e-27 0.000000000000000000e+00
6.300000000000000000e+02 9.816058195569999551e-28 -1.905996935030000154e-27 0.000000000000000000e+00
6.500000000000000000e+02 9.826268810439999646e-27 -2.207123143609999960e-26 0.000000000000000000e+00
6.700000000000000000e+02 1.162300946170000010e-27 1.208145434900000066e-27 0.000000000000000000e+00
6.900000000000000000e+02 -3.815830488820000016e-27 -9.850169041979999594e-27 0.000000000000000000e+00
7.100000000000000000e+02 -6.013797116049999904e-27 3.210232540119999999e-27 0.000000000000000000e+00
7.300000000000000000e+02 -7.930401149939999491e-27 -1.573272053929999862e-26 0.000000000000000000e+00
7.500000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.700000000000000000e+02 4.582030300199999832e-27 6.269861265710000267e-27 0.000000000000000000e+00
7.900000000000000000e+02 -4.172057835250000042e-27 1.551790314660000007e-26 0.000000000000000000e+00
8.200000000000000000e+02 -3.821312345860000025e-29 1.495995219619999997e-27 0.000000000000000000e+00
8.600000000000000000e+02 1.554786243090000056e-28 -9.209808322200000708e-28 0.000000000000000000e+00
9.000000000000000000e+02 -1.059191666960000051e-27 -1.652707171610000040e-28 0.000000000000000000e+00
9.400000000000000000e+02 -3.891914144720000257e-29 -8.056458618280000296e-29 0.000000000000000000e+00
9.800000000000000000e+02 2.023262435889999990e-28 -6.138125200930000273e-28 0.000000000000000000e+00
1.020000000000000000e+03 2.540162166660000021e-28 -3.031197277019999813e-28 0.000000000000000000e+00
1.060000000000000000e+03 6.486638439349999677e-28 -3.098785877649999864e-29 0.000000000000000000e+00
1.100000000000000000e+03 -3.969840579689999861e-28 1.946160623519999833e-27 0.000000000000000000e+00
1.160000000000000000e+03 -4.715334670550000018e-30 -1.146810422660000021e-28 0.000000000000000000e+00
1.240000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.320000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.480000000000000000e+03 3.898004651769999947e-28 5.904733765160000086e-27 0.000000000000000000e+00
1.560000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.640000000000000000e+03 4.986903167570000199e-29 -3.177395090509999945e-27 0.000000000000000000e+00
1.720000000000000000e+03 -5.676327529609999953e-29 -5.846412351830000327e-27 0.000000000000000000e+00
1.800000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.880000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.960000000000000000e+03 -2.085371583629999806e-28 -4.800037595999999864e-27 0.000000000000000000e+00
2.040000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.120000000000000000e+03 3.581747059250000141e-28 -5.067481377259999718e-27 0.000000000000000000e+00
2.200000000000000000e+03 -8.455161441380000658e-30 1.585115365449999933e-27 0.000000000000000000e+00
2.280000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.360000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.440000000000000000e+03 1.223376110129999985e-27 -3.967260128009999963e-27 0.000000000000000000e+00
2.520000000000000000e+03 6.978070234059999704e-28 -3.509699566349999789e-27 0.000000000000000000e+00
2.600000000000000000e+03 -2.803587014640000007e-27 4.044163998910000236e-27 0.000000000000000000e+00
2.680000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.760000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.840000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.920000000000000000e+03 1.193098276260000064e-29 5.285919015450000280e-30 0.000000000000000000e+00

# time = 1.0 hrs
5.000000000000000000e+00 1.384180221459999907e-03 -5.695988674369999866e-03 -5.720646797830000220e-04
1.500000000000000000e+01 2.754636831809999871e-04 -3.161885082779999998e-03 -1.940157101590000109e-04
2.500000000000000000e+01 3.393347687070000186e-04 -2.484281715439999854e-03 -1.628914016969999865e-04
3.500000000000000000e+01 3.869049944910000018e-04 -2.854737958889999941e-03 -5.918655019610000271e-05
4.500000000000000000e+01 -4.966457437580000522e-04 -6.055144944369999886e-03 9.889787276010000155e-05
5.500000000000000000e+01 -4.424121504780000394e-03 -1.133245287580000003e-02 3.876691421320000081e-04
6.500000000000000000e+01 -1.053274195420000024e-02 -1.537808889089999943e-02 -1.789059497499999953e-05
7.500000000000000000e+01 -1.414679373739999996e-02 -1.644048595389999839e-02 -6.881972338259999961e-04
8.500000000000000000e+01 -1.307441638869999943e-02 -1.151842065409999956e-02 -5.247047744870000007e-04
9.500000000000000000e+01 -1.003771617150000031e-02 -6.742724304820000257e-03 -9.633781248410000096e-05
1.050000000000000000e+02 -6.889454506240000158e-03 -3.364468484040000155e-03 -2.934648475309999924e-05
1.150000000000000000e+02 -4.893992503820000263e-03 -1.759820242480000102e-03 -1.859687591250000149e-05
1.250000000000000000e+02 -3.907181738049999610e-03 -9.095384968830000144e-04 1.202364626830000052e-04
1.350000000000000000e+02 -2.356397231300000079e-03 -9.214744802719999927e-05 3.735519879690000014e-05
1.450000000000000000e+02 -2.000730872270000196e-03 -7.791740363820000509e-04 -1.184217400669999929e-06
1.550000000000000000e+02 -1.136949186580000094e-03 -1.012843132869999975e-03 2.439941551750000014e-04
1.650000000000000000e+02 -3.013989355599999980e-04 2.863413183430000135e-05 -9.960129965390000125e-06
1.750000000000000000e+02 -8.493518927189999939e-04 -4.134300807259999990e-04 2.302884032059999888e-04
1.850000000000000000e+02 -3.682492486680000003e-04 -2.465403714609999881e-04 3.225395802190000123e-05
1.950000000000000000e+02 -1.077980109800000041e-04 -3.000107166819999965e-05 1.509347036500000038e-05
2.050000000000000000e+02 -6.002803182739999751e-05 1.103954511870000021e-05 6.820563789649999753e-06
2.150000000000000000e+02 -5.353039199789999840e-05 7.390845035190000103e-07 -5.731051014340000331e-06
2.250000000000000000e+02 -5.889175108210000008e-05 4.628401571549999987e-06 -8.879133778629999985e-06
2.350000000000000000e+02 -4.902269355050000230e-05 -9.071191181530000112e-06 -1.245968111570000084e-06
2.450000000000000000e+02 -4.715389955439999774e-05 3.585257076480000169e-07 -2.171573530519999882e-06
2.550000000000000000e+02 -5.904413765720000303e-05 2.549846977880000077e-06 1.806964970289999945e-06
2.650000000000000000e+02 -5.217570802759999711e-05 -2.466765056609999794e-06 2.937932926409999852e-05
2.750000000000000000e+02 -3.234059243609999995e-05 7.957443828730000515e-06 3.588662779119999817e-06
2.850000000000000000e+02 -3.371049498830000322e-05 -1.158944178890000037e-05 1.814815127829999940e-05
2.950000000000000000e+02 -4.418366193130000152e-05 -3.132698533640000055e-06 4.551684918399999985e-06
3.050000000000000000e+02 -2.515232181219999853e-05 1.284350844789999938e-05 1.674862575049999980e-05
3.150000000000000000e+02 -1.765658052300000025e-05 1.608695312179999888e-05 2.855387834639999979e-05
3.250000000000000000e+02 -1.774961769489999907e-05 3.886746635640000248e-05 1.388797383590000036e-06
3.350000000000000000e+02 -2.077092162589999923e-05 2.373616943220000134e-05 8.874676268079999527e-06
3.450000000000000000e+02 -1.453421230569999964e-05 1.652904320389999852e-05 -2.154990620779999921e-05
3.550000000000000000e+02 -5.122588985360000064e-06 4.091226129050000313e-05 -8.041883791599999386e-06
