# z, uT, vT, wT

# time = 0.0-1.0 hrs
2.150000000000000000e+02 -1.419536995020952727e-04 1.977462568668610405e-05 -1.035657892166459831e-05
2.250000000000000000e+02 -1.293016777255100581e-04 1.033267043951468284e-05 5.192547464651608111e-06
2.350000000000000000e+02 -1.149829621831949809e-04 1.041332914586712208e-05 -2.039308317864165986e-06
2.450000000000000000e+02 -9.711721289928005902e-05 1.187885920619426566e-05 -3.860352179213371607e-06
2.550000000000000000e+02 -7.978394489113856331e-05 4.637502585199085375e-06 3.497592060806642369e-06
2.650000000000000000e+02 -6.164087357353181665e-05 1.322447674057304159e-05 -4.525589368348358285e-06
2.750000000000000000e+02 -5.231401432783774528e-05 5.533782969379684016e-06 -1.626474938247778734e-07
2.850000000000000000e+02 -5.191578790299527531e-05 5.995723328342535848e-06 1.668501466150099971e-06
2.950000000000000000e+02 -3.967723049800614573e-05 9.319065679262365884e-06 -4.737257802161084885e-06
3.050000000000000000e+02 -2.116193768305846750e-05 1.361043543811088187e-05 3.107069761654821870e-06
3.150000000000000000e+02 -1.337636640643633193e-05 1.867050423503995160e-05 -3.205587375847293734e-06
3.250000000000000000e+02 -1.323442449050764250e-05 1.303966426017684715e-05 -1.845663925761601067e-06
3.350000000000000000e+02 -1.424301059969439661e-05 9.018439261232807781e-06 3.385483759746690124e-06
3.450000000000000000e+02 -1.169295644061014839e-05 1.340417055052471619e-05 -5.127379584678123439e-06
3.550000000000000000e+02 -6.409749634333914008e-06 1.953745347104581179e-05 -5.582210903006345073e-07
3.650000000000000000e+02 -3.690218958176677730e-06 1.834326424745435927e-05 4.569234911366506419e-06
3.750000000000000000e+02 -2.184578746008153111e-06 1.710033544859476646e-05 -2.041990888967429868e-06
3.850000000000000000e+02 -2.893805694491680438e-06 1.927286576806739679e-05 3.756385514230193818e-06
3.950000000000000000e+02 -1.750564808261622270e-06 1.777231577785464865e-05 -1.787719000803332766e-06
4.050000000000000000e+02 -6.898574984046227034e-07 1.503968226143118985e-05 2.783157703289942423e-07
