# z, u, v, w, u_mag

# time = 0.0-1.0 hrs
3.650000000000000000e+02 -4.653902352673016551e+00 -8.791987631882502541e+00 -8.164581909388259973e-05 9.947756210693460943e+00
3.750000000000000000e+02 -4.664329227651077936e+00 -8.681470278704178867e+00 6.874426940123006132e-05 9.855145526269215139e+00
3.850000000000000000e+02 -4.674755831933879335e+00 -8.570951119478451119e+00 -3.108634838509757869e-05 9.762916837743150111e+00
3.950000000000000000e+02 -4.685176045532442046e+00 -8.460427406626484625e+00 -2.053411469463727518e-05 9.671075766450574207e+00
4.050000000000000000e+02 -4.686976711019436692e+00 -8.347891494168692361e+00 5.882194343738168910e-05 9.573664036723483761e+00
4.150000000000000000e+02 -4.680159311972390768e+00 -8.233340703158459561e+00 -9.805020419601903256e-05 9.470574973027124699e+00
4.250000000000000000e+02 -4.673334584972840489e+00 -8.118786520283389763e+00 1.185867629511428887e-04 9.367750568041323334e+00
4.350000000000000000e+02 -4.666510349413997005e+00 -8.004232296766275567e+00 -1.232526084305087932e-04 9.265206608693853596e+00
4.450000000000000000e+02 -4.659678294594253423e+00 -7.889678572601081186e+00 1.339367129624565963e-04 9.162948749615127397e+00
4.550000000000000000e+02 -4.642468499257630832e+00 -7.780803514901959872e+00 -1.502927912439404887e-04 9.060541766589350843e+00
4.650000000000000000e+02 -4.614884147342912080e+00 -7.677606696773087158e+00 2.018343559406601579e-04 8.957834575595368776e+00
4.750000000000000000e+02 -4.587291819567494322e+00 -7.574409790119321251e+00 -2.553800551338994917e-04 8.855220488871312412e+00
4.900000000000000000e+02 -4.545900713729182918e+00 -7.419615425336362868e+00 4.066722794746047663e-04 8.701488743828425854e+00
5.100000000000000000e+02 -4.468129942715520109e+00 -7.231964577612980172e+00 7.855185160709784282e-05 8.500911529761964402e+00
5.300000000000000000e+02 -4.367774921074498273e+00 -7.063053541727983387e+00 -1.327793861362413868e-04 8.304467658705375399e+00
5.500000000000000000e+02 -4.267425298690210589e+00 -6.894154130187831520e+00 7.780528788772799777e-05 8.108037977876470848e+00
5.700000000000000000e+02 -4.106579798070799647e+00 -6.790092293211548835e+00 -5.226583861251956421e-05 7.935322992056093483e+00
5.900000000000000000e+02 -3.945744519497145220e+00 -6.686043481711826608e+00 3.271987505324405385e-05 7.763509338725816278e+00
6.100000000000000000e+02 -3.784161899695187348e+00 -6.588921189486688590e+00 -2.304666252839507348e-05 7.598273733182516310e+00
6.300000000000000000e+02 -3.621829945436381593e+00 -6.498723145000171009e+00 1.548851530554397468e-05 7.439828940844044780e+00
6.500000000000000000e+02 -3.459515977486279592e+00 -6.408546222096006773e+00 -1.132457854486787001e-05 7.282699738367897524e+00
6.700000000000000000e+02 -3.342271530153952952e+00 -6.350210889349951593e+00 7.460176737146270684e-06 7.176068374848189713e+00
6.900000000000000000e+02 -3.225039325399879253e+00 -6.291893327865548002e+00 -5.047836814652768594e-06 7.070275829104173404e+00
7.100000000000000000e+02 -3.110965221897707522e+00 -6.234521314590289798e+00 2.980097732436435303e-06 6.967593604246568262e+00
7.300000000000000000e+02 -3.000048080834282871e+00 -6.178093535140687820e+00 -1.298388413219023591e-06 6.867978466496865053e+00
7.500000000000000000e+02 -2.889081466943741017e+00 -6.121662798836351449e+00 -2.241956032485820881e-07 6.769161480220035720e+00
7.700000000000000000e+02 -2.806984298421167701e+00 -6.075460729044077191e+00 1.471055849013500245e-06 6.692561835481220633e+00
7.900000000000000000e+02 -2.724861653420182162e+00 -6.029260991424917115e+00 -2.202829419876846385e-06 6.616408325745769758e+00
8.200000000000000000e+02 -2.601799539527523297e+00 -5.960434989560276620e+00 3.952485769197646882e-06 6.503548731935516081e+00
8.600000000000000000e+02 -2.416356379008858024e+00 -5.871217151405045520e+00 -2.066790113923466957e-06 6.349013229575882100e+00
9.000000000000000000e+02 -2.166564296098098641e+00 -5.788690164544484595e+00 9.765603909638561445e-07 6.180852260831114720e+00
9.400000000000000000e+02 -1.912685662028341893e+00 -5.708841146248484044e+00 -4.937805904344571097e-07 6.020733649218216854e+00
9.800000000000000000e+02 -1.697995323224710473e+00 -5.614615276109730324e+00 2.372833225168167802e-07 5.865755945862198395e+00
1.020000000000000000e+03 -1.532639298381414106e+00 -5.503272618278697514e+00 -9.950940378876175303e-08 5.712704502251026106e+00
1.060000000000000000e+03 -1.403741039060743434e+00 -5.380444797239507970e+00 4.302753387453046891e-08 5.560546296982431080e+00
1.100000000000000000e+03 -1.275421740980637653e+00 -5.260127686255074764e+00 -1.224156657568536059e-08 5.412545047671496690e+00
1.160000000000000000e+03 -1.098616020553738526e+00 -5.077559803321578080e+00 5.274951000297445231e-09 5.195052523018837576e+00
1.240000000000000000e+03 -9.705843415526336226e-01 -4.833860619729986041e+00 -1.903868326911135971e-10 4.930338979729844695e+00
1.320000000000000000e+03 -8.428354295111873951e-01 -4.588574649017341578e+00 1.748975065143242382e-10 4.665339094947325016e+00
1.400000000000000000e+03 -7.136748862059825171e-01 -4.346782403743704393e+00 -3.052397499699946907e-10 4.404980034994144589e+00
1.480000000000000000e+03 -5.469969493341961808e-01 -4.212084770127237476e+00 -5.207327170139594023e-10 4.247453798844519568e+00
1.560000000000000000e+03 -3.803416852319485564e-01 -4.077501898240059042e+00 -7.967019335639436145e-10 4.095202257236675969e+00
1.640000000000000000e+03 -2.134048971181656817e-01 -3.942399205872396006e+00 -1.022415817628603943e-09 3.948170861117501484e+00
1.720000000000000000e+03 -6.467609122169620806e-02 -3.802705090493510465e+00 -1.211798744482657449e-09 3.803255053508898698e+00
1.800000000000000000e+03 2.869220898100971646e-03 -3.643264504585974173e+00 -1.368084068330470174e-09 3.643265634400632891e+00
1.880000000000000000e+03 5.412745994168181168e-02 -3.481503479770318599e+00 -1.520098852661456515e-09 3.481924218240910474e+00
1.960000000000000000e+03 1.052910809160520628e-01 -3.317410176967887203e+00 -1.640478730043290325e-09 3.319080670000441824e+00
2.040000000000000000e+03 1.564912068372847354e-01 -3.155012160349327743e+00 -1.723001092922084420e-09 3.158890822704944590e+00
2.120000000000000000e+03 1.310533982905961459e-01 -3.003486563550427313e+00 -1.707402664461019762e-09 3.006344379912499143e+00
2.200000000000000000e+03 -2.028729523953472780e-01 -2.897329384787127537e+00 -1.679653186619380695e-09 2.904423350471580623e+00
2.280000000000000000e+03 -5.842749661911117443e-01 -2.799590037534195108e+00 -1.772338567641562430e-09 2.859909371707141990e+00
2.360000000000000000e+03 -9.656233370972285845e-01 -2.701066323278542125e+00 -1.762031168153538904e-09 2.868481778205371313e+00
2.440000000000000000e+03 -1.347576630969513634e+00 -2.603781055512533360e+00 -1.681900914633910742e-09 2.931831946306115988e+00
2.520000000000000000e+03 -1.728424219650014804e+00 -2.504009866798693196e+00 -1.536229201076740519e-09 3.042616587100315684e+00
2.600000000000000000e+03 -2.117464678360181374e+00 -2.394729885338649389e+00 -1.333415957329761025e-09 3.196621323810039161e+00
2.680000000000000000e+03 -2.543323031426199865e+00 -2.229287450676489257e+00 -1.073426573834088542e-09 3.382042959503417823e+00
2.760000000000000000e+03 -2.968515361199330904e+00 -2.063429826236671705e+00 -7.813385098828940690e-10 3.615221445150973878e+00
2.840000000000000000e+03 -3.396226459333133718e+00 -1.899327059674515983e+00 -3.603829053768585923e-10 3.891246258293905136e+00
2.920000000000000000e+03 -3.822035049858832245e+00 -1.734395947143495764e+00 -3.074108157025067487e-10 4.197151560739401432e+00

# time = 1.0-2.0 hrs
5.000000000000000000e+00 1.830914703737432925e+00 -4.648294377161869662e+00 -5.964521893778705099e-04 4.995887235428416062e+00
1.500000000000000000e+01 2.026705487887988877e+00 -6.452734145649497322e+00 3.691197869876556539e-04 6.763528153934618814e+00
2.500000000000000000e+01 2.125222201985240478e+00 -7.561624753051805037e+00 2.808808061844140472e-04 7.854599818818064350e+00
3.500000000000000000e+01 2.126844212319596750e+00 -7.953386919609354067e+00 3.338149855181358344e-04 8.232850648256079040e+00
4.500000000000000000e+01 2.055414813866024648e+00 -8.291796098990172226e+00 -1.422759150880947062e-03 8.542752050966278432e+00
5.500000000000000000e+01 1.911716325663246341e+00 -8.586790251508130467e+00 -1.326665406892790387e-03 8.797023708800747244e+00
6.500000000000000000e+01 1.665609161178100317e+00 -8.880272654569823843e+00 -8.124333344873198596e-05 9.035125693497628063e+00
7.500000000000000000e+01 1.317749335990973547e+00 -9.172000865333711062e+00 -1.282369461577203109e-03 9.266178456418105114e+00
8.500000000000000000e+01 9.850169885793995661e-01 -9.375230331404448947e+00 2.755489331956963942e-03 9.426834157588432461e+00
9.500000000000000000e+01 6.671961795110465943e-01 -9.490218442770949281e+00 1.782579414427378655e-04 9.513642669002447150e+00
1.050000000000000000e+02 3.731797782034628197e-01 -9.558603354211054892e+00 7.477547983336046240e-04 9.565885282084185093e+00
1.150000000000000000e+02 1.030731952575518751e-01 -9.580527027034754894e+00 -1.376035016375306988e-03 9.581081473368442403e+00
1.250000000000000000e+02 -1.959960750145341157e-01 -9.572560888496802534e+00 3.105879263553741089e-04 9.574567166478065161e+00
1.350000000000000000e+02 -5.239904091845500878e-01 -9.534845782749325593e+00 -7.515591773939468137e-04 9.549232956092861713e+00
1.450000000000000000e+02 -8.355273176010724612e-01 -9.485731265945677393e+00 9.687642661597565576e-04 9.522457852266768441e+00
1.550000000000000000e+02 -1.130708192064221906e+00 -9.425204939292301631e+00 1.663111899719420163e-03 9.492786164412486016e+00
1.650000000000000000e+02 -1.416402242734447148e+00 -9.360250556824793122e+00 -3.089692461719768107e-03 9.466809694916340945e+00
1.750000000000000000e+02 -1.692579707752841278e+00 -9.290961614282506886e+00 1.934343360226028737e-03 9.443875993741537300e+00
1.850000000000000000e+02 -1.948541567940666575e+00 -9.223997748585929912e+00 -1.028978392233974738e-03 9.427563243379010416e+00
