# z, uT, vT, wT

# time = 0.0 hrs
3.350000000000000000e+02 -7.706563746319999776e-30 -5.048709793409999807e-29 0.000000000000000000e+00
3.450000000000000000e+02 -1.004950567800000069e-29 -4.543838814070000298e-28 0.000000000000000000e+00
3.550000000000000000e+02 -1.060613782830000064e-28 1.254913917660000056e-27 0.000000000000000000e+00
3.650000000000000000e+02 -3.374983610809999875e-28 -3.180676651709999927e-27 0.000000000000000000e+00
3.750000000000000000e+02 -7.918198849120000176e-29 -2.423380700840000070e-27 0.000000000000000000e+00
3.850000000000000000e+02 5.285214049279999900e-29 8.078054875110000669e-28 0.000000000000000000e+00
3.950000000000000000e+02 5.890187721010000398e-28 -1.784569253790000020e-27 0.000000000000000000e+00
4.050000000000000000e+02 2.413574095450000026e-28 -3.079110434510000034e-27 0.000000000000000000e+00
4.150000000000000000e+02 2.191926845179999930e-28 -4.099696901620000024e-27 0.000000000000000000e+00
4.250000000000000000e+02 3.203043174870000197e-28 1.770742300190000097e-27 0.000000000000000000e+00
4.350000000000000000e+02 -7.381072849949999771e-28 -4.294142549979999847e-27 0.000000000000000000e+00
4.450000000000000000e+02 3.370576007019999779e-28 -2.249893909700000072e-27 0.000000000000000000e+00
4.550000000000000000e+02 -4.939169319409999855e-28 1.240542524820000028e-27 0.000000000000000000e+00
4.650000000000000000e+02 4.578220627940000137e-29 -1.160610229429999891e-28 0.000000000000000000e+00
4.750000000000000000e+02 2.186450209649999918e-28 -9.903260332539999495e-27 0.000000000000000000e+00
4.850000000000000000e+02 3.133905464279999852e-28 -7.679314787719999932e-27 0.000000000000000000e+00
4.950000000000000000e+02 1.685938500719999943e-29 -1.109828423080000044e-27 0.000000000000000000e+00
5.050000000000000000e+02 -5.644838831809999585e-28 -3.359479714219999686e-27 0.000000000000000000e+00
5.150000000000000000e+02 1.230092096229999922e-28 -3.687553591629999786e-27 0.000000000000000000e+00
5.250000000000000000e+02 -1.235173349670000047e-27 2.101308226760000006e-27 0.000000000000000000e+00
5.350000000000000000e+02 -1.533683587799999938e-27 2.384193847549999866e-27 0.000000000000000000e+00
5.450000000000000000e+02 1.256642649980000069e-28 -4.121418073950000395e-28 0.000000000000000000e+00
5.550000000000000000e+02 -3.836978246929999767e-27 1.324419625590000084e-27 0.000000000000000000e+00
5.650000000000000000e+02 -5.144446754249999996e-27 -1.062046431869999934e-26 0.000000000000000000e+00
5.750000000000000000e+02 -2.803929705839999886e-28 8.504164979950000201e-28 0.000000000000000000e+00
5.850000000000000000e+02 2.547904272970000194e-28 -4.911543160080000011e-27 0.000000000000000000e+00
5.950000000000000000e+02 7.254933865989999829e-28 1.213737081339999938e-27 0.000000000000000000e+00
6.050000000000000000e+02 4.143303579780000105e-28 2.021040102020000191e-28 0.000000000000000000e+00
6.150000000000000000e+02 -1.231875172310000082e-31 7.187399358679999465e-32 0.000000000000000000e+00
6.250000000000000000e+02 -1.309462246829999991e-27 1.425474610830000040e-27 0.000000000000000000e+00
6.350000000000000000e+02 -6.673244788729999904e-27 -4.775242019849999906e-28 0.000000000000000000e+00
6.450000000000000000e+02 -5.200494244710000000e-27 -9.815905532199999865e-27 0.000000000000000000e+00
6.550000000000000000e+02 -3.013646749680000056e-27 1.077758597749999921e-27 0.000000000000000000e+00
6.650000000000000000e+02 2.994565181070000153e-27 1.376867756609999993e-27 0.000000000000000000e+00
6.750000000000000000e+02 3.184420310090000110e-27 -1.427785622679999911e-27 0.000000000000000000e+00
6.850000000000000000e+02 -5.837248643040000209e-27 -2.771835588599999926e-27 0.000000000000000000e+00
6.950000000000000000e+02 -6.654243683930000675e-27 1.119384158180000065e-27 0.000000000000000000e+00
7.050000000000000000e+02 8.127469623079999846e-28 -1.915361916049999911e-28 0.000000000000000000e+00
7.150000000000000000e+02 -1.330545874299999971e-26 3.907880188569999836e-28 0.000000000000000000e+00
7.250000000000000000e+02 -1.306301669359999963e-26 -1.185187441360000068e-27 0.000000000000000000e+00
7.350000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.450000000000000000e+02 1.491899403719999924e-27 -1.136847422469999895e-28 0.000000000000000000e+00
7.550000000000000000e+02 4.022973241619999935e-28 -4.132570156740000014e-28 0.000000000000000000e+00
7.650000000000000000e+02 -2.802537554159999991e-27 2.241494986680000086e-29 0.000000000000000000e+00
7.750000000000000000e+02 -2.645335406509999972e-27 7.195017501139999672e-29 0.000000000000000000e+00
7.850000000000000000e+02 -1.577299181340000016e-27 5.514006250680000261e-30 0.000000000000000000e+00
7.950000000000000000e+02 -1.696250851089999977e-26 4.288856430619999927e-29 0.000000000000000000e+00
8.050000000000000000e+02 -1.029255582659999987e-26 4.563243915830000381e-28 0.000000000000000000e+00
8.150000000000000000e+02 -3.862467094069999946e-27 1.059724060419999956e-28 0.000000000000000000e+00
8.250000000000000000e+02 -1.124874369630000004e-26 1.923948804740000072e-27 0.000000000000000000e+00
8.350000000000000000e+02 -2.467734818450000157e-27 4.812895978660000024e-28 0.000000000000000000e+00
8.450000000000000000e+02 -9.932949400710000219e-27 2.381421064069999822e-27 0.000000000000000000e+00
8.550000000000000000e+02 -3.710805905419999881e-27 -8.542128472749999668e-28 0.000000000000000000e+00
8.650000000000000000e+02 4.459251387879999669e-28 2.654072529380000125e-27 0.000000000000000000e+00
8.750000000000000000e+02 -7.439425141540000159e-28 3.914802480579999998e-27 0.000000000000000000e+00
8.850000000000000000e+02 -5.501494265600000145e-27 1.085761388780000009e-26 0.000000000000000000e+00
8.950000000000000000e+02 -4.936108539100000284e-28 3.495728163550000207e-28 0.000000000000000000e+00
9.050000000000000000e+02 -1.562788297859999986e-27 3.836872389299999692e-27 0.000000000000000000e+00
9.150000000000000000e+02 -1.751489736580000138e-27 -1.264706160770000007e-27 0.000000000000000000e+00
9.250000000000000000e+02 -4.172231534910000248e-27 9.465132996150000198e-27 0.000000000000000000e+00
9.350000000000000000e+02 1.200825757339999992e-27 4.552076425210000057e-27 0.000000000000000000e+00
9.450000000000000000e+02 -6.769152819690000158e-29 7.824103269909999971e-28 0.000000000000000000e+00
9.550000000000000000e+02 -8.196140090089999799e-27 -1.129589463880000056e-27 0.000000000000000000e+00
9.650000000000000000e+02 -1.594974413809999896e-26 4.010570244559999686e-27 0.000000000000000000e+00
9.750000000000000000e+02 -4.460558643089999595e-28 2.248317440049999837e-27 0.000000000000000000e+00
9.850000000000000000e+02 -1.092398153210000021e-27 1.969455761180000062e-27 0.000000000000000000e+00
9.950000000000000000e+02 -2.728919977630000089e-27 -1.060520359159999912e-27 0.000000000000000000e+00
1.005000000000000000e+03 -3.273236406379999975e-27 -3.174787241579999887e-27 0.000000000000000000e+00
1.015000000000000000e+03 -7.655303765050000132e-27 5.378828248029999901e-27 0.000000000000000000e+00
1.025000000000000000e+03 4.090327688299999627e-28 -1.016394685650000020e-27 0.000000000000000000e+00
1.035000000000000000e+03 -6.314410670220000043e-27 3.808014004190000236e-27 0.000000000000000000e+00
1.045000000000000000e+03 -1.826401255359999922e-26 1.481561318949999927e-27 0.000000000000000000e+00
1.055000000000000000e+03 -1.556269301600000080e-27 5.595077961729999860e-27 0.000000000000000000e+00
1.065000000000000000e+03 2.767041142450000022e-27 -4.538910512000000165e-27 0.000000000000000000e+00
1.075000000000000000e+03 -4.784006765369999781e-27 2.507655157109999896e-26 0.000000000000000000e+00
1.085000000000000000e+03 2.926569052389999992e-27 -8.213585185539999802e-27 0.000000000000000000e+00
1.095000000000000000e+03 -5.227457159850000195e-28 9.659664392439999687e-27 0.000000000000000000e+00
1.105000000000000000e+03 -4.669249416460000047e-28 5.694507893510000290e-27 0.000000000000000000e+00
1.115000000000000000e+03 -1.233688500579999978e-26 2.505216840650000039e-26 0.000000000000000000e+00
1.125000000000000000e+03 -3.565528229300000283e-27 -7.979811089620000221e-27 0.000000000000000000e+00
1.135000000000000000e+03 6.100175481889999653e-28 1.998078990610000021e-27 0.000000000000000000e+00
1.145000000000000000e+03 -3.563781065170000123e-28 5.816866981570000169e-28 0.000000000000000000e+00
1.155000000000000000e+03 -5.921793019970000358e-27 2.834201499289999820e-26 0.000000000000000000e+00
1.165000000000000000e+03 4.848041159450000060e-27 -1.405560806490000097e-28 0.000000000000000000e+00
