Tom Lund and Greg Poulos.  64X64X64 dynamic Smagorinsky model with Sullivans surface layer correction.  Revised 08/18/03.         
 861
  0.0000000E+00  0.4818048E+02  0.9727691E+02  0.1463290E+03  0.1953677E+03  0.2444099E+03  0.2934343E+03  0.3423476E+03  0.3911439E+03  0.4396220E+03
  0.4875151E+03  0.5346554E+03  0.5809984E+03  0.6257454E+03  0.6701130E+03  0.7136798E+03  0.7563645E+03  0.8002666E+03  0.8425547E+03  0.8847677E+03
  0.9287949E+03  0.9719182E+03  0.1014521E+04  0.1057631E+04  0.1100690E+04  0.1141996E+04  0.1184352E+04  0.1227296E+04  0.1270878E+04  0.1315977E+04
  0.1360576E+04  0.1406136E+04  0.1450790E+04  0.1495549E+04  0.1540916E+04  0.1586361E+04  0.1631882E+04  0.1677585E+04  0.1722052E+04  0.1766463E+04
  0.1810256E+04  0.1854753E+04  0.1897974E+04  0.1943502E+04  0.1988670E+04  0.2034107E+04  0.2078485E+04  0.2122591E+04  0.2166469E+04  0.2209662E+04
  0.2254325E+04  0.2299691E+04  0.2345122E+04  0.2390511E+04  0.2436561E+04  0.2482771E+04  0.2528335E+04  0.2573899E+04  0.2619677E+04  0.2665014E+04
  0.2710243E+04  0.2754955E+04  0.2800034E+04  0.2845535E+04  0.2891489E+04  0.2937485E+04  0.2984019E+04  0.3030589E+04  0.3077036E+04  0.3123956E+04
  0.3170120E+04  0.3216612E+04  0.3263449E+04  0.3310253E+04  0.3357128E+04  0.3403861E+04  0.3450578E+04  0.3496722E+04  0.3542217E+04  0.3588426E+04
  0.3634579E+04  0.3680605E+04  0.3727203E+04  0.3772759E+04  0.3818240E+04  0.3864157E+04  0.3910144E+04  0.3956403E+04  0.4002685E+04  0.4048373E+04
  0.4093664E+04  0.4138495E+04  0.4183386E+04  0.4227911E+04  0.4273042E+04  0.4317582E+04  0.4363371E+04  0.4408814E+04  0.4454714E+04  0.4500622E+04
  0.4547004E+04  0.4593434E+04  0.4639739E+04  0.4686426E+04  0.4733043E+04  0.4779600E+04  0.4825475E+04  0.4871010E+04  0.4916501E+04  0.4961306E+04
  0.5007906E+04  0.5054459E+04  0.5101068E+04  0.5147184E+04  0.5193485E+04  0.5240145E+04  0.5286553E+04  0.5333268E+04  0.5379768E+04  0.5425636E+04
  0.5471925E+04  0.5518440E+04  0.5565313E+04  0.5612119E+04  0.5659115E+04  0.5705842E+04  0.5752001E+04  0.5798024E+04  0.5844435E+04  0.5891034E+04
  0.5937520E+04  0.5983688E+04  0.6030313E+04  0.6077417E+04  0.6124187E+04  0.6170540E+04  0.6216227E+04  0.6262368E+04  0.6308477E+04  0.6354989E+04
  0.6401266E+04  0.6447768E+04  0.6493677E+04  0.6539204E+04  0.6585391E+04  0.6631901E+04  0.6678220E+04  0.6724321E+04  0.6770528E+04  0.6816904E+04
  0.6863622E+04  0.6910327E+04  0.6957068E+04  0.7003776E+04  0.7050036E+04  0.7096450E+04  0.7143109E+04  0.7189625E+04  0.7234586E+04  0.7280685E+04
  0.7326462E+04  0.7372101E+04  0.7418870E+04  0.7465137E+04  0.7511421E+04  0.7557482E+04  0.7603231E+04  0.7648971E+04  0.7695507E+04  0.7742373E+04
  0.7788687E+04  0.7834716E+04  0.7880713E+04  0.7926797E+04  0.7973012E+04  0.8019550E+04  0.8065192E+04  0.8111610E+04  0.8158111E+04  0.8204462E+04
  0.8250925E+04  0.8296933E+04  0.8343045E+04  0.8389150E+04  0.8435485E+04  0.8481714E+04  0.8527870E+04  0.8574195E+04  0.8620503E+04  0.8666574E+04
