# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 8.942116924830109670e-02 -4.097176384532541125e-04 -2.791178224065826244e-05 1.160844381858889551e-01 3.428891100178620924e-03 1.051380147554783519e-02 1.080097044548689461e-01
1.500000000000000000e+01 1.319586575305356779e-01 -5.156909555865758256e-03 -1.185021924939375169e-03 3.452992277486920947e-01 7.424185757937863672e-02 4.114501474885049609e-02 2.592014500140391031e-01
2.500000000000000000e+01 8.104058045058923354e-02 -4.878536512611539311e-03 -9.850312365263748024e-04 2.554544695289611700e-01 3.986492592682118474e-02 4.601423354223848489e-02 1.912546417608944338e-01
3.500000000000000000e+01 4.710080237593294861e-02 -6.839323146383371370e-04 -5.234023414625589262e-04 1.471345938045559021e-01 7.503221444600063385e-03 3.281366983563606399e-02 1.135245330080624504e-01
4.500000000000000000e+01 2.763593520832200931e-02 3.789147617248995927e-03 -2.836979180518875670e-04 8.916815406026813717e-02 3.905658745148480899e-03 2.015518973120440996e-02 6.847963949989728516e-02
5.500000000000000000e+01 1.633157191823817952e-02 5.619834606094024562e-03 -4.595033416938438414e-04 4.919002098145108109e-02 2.039906887033560937e-03 1.291849092315190337e-02 3.922004191142058199e-02
6.500000000000000000e+01 9.286790213853448467e-03 4.164115117417490144e-03 -6.594081591913374119e-04 2.230769939068259766e-02 5.395677995534494016e-04 8.690012045167698138e-03 2.014225082485187474e-02
7.500000000000000000e+01 5.796082524544349940e-03 2.346828026877403970e-03 -6.394818264333500431e-04 9.657694070554794299e-03 3.712264436301490546e-04 6.093327657910296499e-03 1.077355212650472037e-02
8.500000000000000000e+01 4.333429658958679910e-03 1.652034485651452354e-03 -5.194754866724693963e-04 5.295572160763345471e-03 3.836807931348231305e-04 4.440883306787802264e-03 7.034942563254913822e-03
9.500000000000000000e+01 3.386687713818516219e-03 1.062603421951670941e-03 -4.296538705233102304e-04 3.105391058386664741e-03 3.322333906627722888e-04 3.399709323808151624e-03 4.945894048006666509e-03
1.050000000000000000e+02 2.596422429812283560e-03 4.379178385459198911e-04 -3.538664530178666986e-04 1.819426765846934553e-03 2.841537879121919133e-04 2.695040318752762142e-03 3.555444757205990236e-03
1.150000000000000000e+02 2.056350997290481292e-03 3.673058060006283485e-05 -2.802332028287024676e-04 1.158055560418778289e-03 2.594691345404777361e-04 2.178244203620115314e-03 2.696325380664687556e-03
1.250000000000000000e+02 1.633318192909668197e-03 -2.578797430123909006e-04 -2.202104268205053248e-04 8.227304468009107551e-04 2.186955558694732868e-04 1.778679923378007110e-03 2.117364281544293139e-03
1.350000000000000000e+02 1.269490040611404502e-03 -3.995008183813069020e-04 -1.648296085811328795e-04 7.308855010884237040e-04 1.888525830201040782e-04 1.462387288467457275e-03 1.731381415083642740e-03
1.450000000000000000e+02 9.152299227967281795e-04 -4.217363229534701482e-04 -1.224458156100475419e-04 7.056735154849778143e-04 1.608016859131637449e-04 1.221398406411233501e-03 1.421150922346469747e-03
1.550000000000000000e+02 6.773456284726731957e-04 -4.026829790763555980e-04 -9.313204198103540356e-05 7.238309949625705174e-04 1.376974376152298267e-04 1.036492823007681072e-03 1.218834723221462338e-03
1.650000000000000000e+02 5.317217467236788489e-04 -3.659969458029508748e-04 -6.884897604392954641e-05 6.884450007198182880e-04 1.213384313076317904e-04 8.947341691825088251e-04 1.057450458313003144e-03
1.750000000000000000e+02 4.115899011004938292e-04 -3.208688854513001495e-04 -5.100498323691902243e-05 6.787701079744517347e-04 1.063876311223520889e-04 7.865337337101540064e-04 9.384468713925498123e-04
1.850000000000000000e+02 3.241956325104695599e-04 -2.454853863907679448e-04 -4.149379648312766559e-05 6.827800318034450960e-04 9.291556420213725384e-05 7.026654325471464249e-04 8.548205484305305404e-04
1.950000000000000000e+02 2.691749801248905991e-04 -1.873643759944353788e-04 -2.878967513376192662e-05 6.499748147517735294e-04 8.108601777774188698e-05 6.370463264241924169e-04 7.780980606504283269e-04
2.050000000000000000e+02 2.120639035746371692e-04 -1.454846858070645986e-04 -1.956243121988439552e-05 5.938720807887447892e-04 7.188495752797774299e-05 5.869232520002120842e-04 6.964296181817970213e-04
2.150000000000000000e+02 1.870740702903560466e-04 -1.057290659459976355e-04 -1.480538932330820572e-05 5.301821086707550392e-04 6.481224099678947552e-05 5.482858707779035860e-04 6.327710248695073494e-04
2.250000000000000000e+02 1.938518934054081499e-04 -8.959657961298435867e-05 -1.113922705667788884e-05 4.965147080353581911e-04 6.000808386036272419e-05 5.180540081452314483e-04 6.042103047929988811e-04
2.350000000000000000e+02 2.073181628201559677e-04 -9.372568813094381605e-05 -7.724519649954876259e-06 4.908333898617727288e-04 5.688889494382206078e-05 4.942544074035842448e-04 5.962029800427564707e-04
2.450000000000000000e+02 1.899001006930722422e-04 -8.372425814591429917e-05 -3.441218658936223719e-06 4.854824785326357427e-04 5.210461031512028825e-05 4.736687340595719222e-04 5.745256566426399942e-04
2.550000000000000000e+02 1.806090103103190098e-04 -8.759941374506687961e-05 1.062350766177489090e-06 5.007298880776354065e-04 4.653069132951737205e-05 4.560451967715622350e-04 5.686920475797582579e-04
2.650000000000000000e+02 1.861920453680459989e-04 -1.087566793700207299e-04 4.498432413596537081e-06 4.885646536809536925e-04 4.589040219039129784e-05 4.459842047242897306e-04 5.603704518866446703e-04
2.750000000000000000e+02 1.796325713412814593e-04 -1.054013937287200944e-04 7.498974157263738816e-06 4.617066608629038301e-04 4.245202436271232712e-05 4.409221526827878041e-04 5.411306924434865738e-04
2.850000000000000000e+02 1.762073748728910049e-04 -1.038935512157668678e-04 9.414931948632445315e-06 4.531063079909669806e-04 3.858246602126435453e-05 4.323907029350465407e-04 5.308521928994522224e-04
2.950000000000000000e+02 1.639462502879079041e-04 -9.939610185576833504e-05 1.035539107729492218e-05 4.181755165931929871e-04 3.884120852125422165e-05 4.196560116854571487e-04 5.008888892832789657e-04
3.050000000000000000e+02 1.335783736532708955e-04 -9.119169323814709145e-05 1.090663151922555512e-05 4.089049367156471874e-04 4.540022924021864425e-05 4.103432488488075250e-04 4.764132796088628311e-04
3.150000000000000000e+02 1.099082389500340948e-04 -7.756267652648516947e-05 1.071233241612371909e-05 3.956751109944710559e-04 4.784838065871678038e-05 4.058498665108312511e-04 4.557166082276682077e-04
3.250000000000000000e+02 1.020100612408681785e-04 -6.831610821647438405e-05 1.078903204226578405e-05 3.592081731553161154e-04 4.989986137915173361e-05 3.989819850583524539e-04 4.301001097272683874e-04
3.350000000000000000e+02 9.545254075978022300e-05 -5.616186121991105268e-05 1.153041304817587588e-05 3.335053044492310701e-04 5.196425724996382955e-05 3.869756493304788857e-04 4.079667472697450555e-04
3.450000000000000000e+02 8.588243795756585859e-05 -4.913276901457877207e-05 1.081127943699232079e-05 3.204303945024150222e-04 5.327032718808955220e-05 3.712172179062044942e-04 3.887650251830927078e-04
3.550000000000000000e+02 8.013529512746668613e-05 -5.238322241368855738e-05 8.818350672397228730e-06 3.042855805134230896e-04 5.411450904515005750e-05 3.541645739928166213e-04 3.692927248168531985e-04
3.650000000000000000e+02 7.688623095198294296e-05 -5.170474933563423768e-05 8.060415914879609693e-06 2.681347632772846973e-04 5.456664699450153869e-05 3.381675833247850169e-04 3.415942887770263489e-04
3.750000000000000000e+02 7.083684607141796071e-05 -4.480458592614827777e-05 7.868378697562093641e-06 2.309787424528904917e-04 5.480004607676992618e-05 3.239028997615613081e-04 3.128592441429348938e-04
3.850000000000000000e+02 6.429741748890072074e-05 -4.063832076206437695e-05 7.595572251220680874e-06 2.070881028836772111e-04 5.601385230180016796e-05 3.113368508025768301e-04 2.913611855875773878e-04
3.950000000000000000e+02 6.632663717327600273e-05 -3.480908811411405980e-05 7.484116225644945221e-06 1.767523238886125898e-04 5.657136887538664769e-05 2.992090460031658909e-04 2.711440035325272079e-04
4.050000000000000000e+02 8.404001003889843878e-05 -1.959024242797943513e-05 7.137957075044708441e-06 1.506738014560799811e-04 5.587679580095495773e-05 2.849966772002153178e-04 2.598552443475968688e-04
4.150000000000000000e+02 9.160835777954882031e-05 -1.157006839739728980e-05 7.475339899684357965e-06 1.378711879459331986e-04 5.613938515551806011e-05 2.695668256902491382e-04 2.495231857078655650e-04
4.250000000000000000e+02 8.581227895494830389e-05 -1.354269297491717837e-05 7.257414290510213815e-06 1.267063733951973871e-04 5.602361241808227911e-05 2.556673147566998743e-04 2.340929835534227691e-04
4.350000000000000000e+02 8.218829760930908377e-05 -1.688821177057237623e-05 6.440520592467050314e-06 1.187921132685888277e-04 5.633657986820478093e-05 2.437563369279857573e-04 2.223683739029418344e-04
4.450000000000000000e+02 8.450358680666628791e-05 -8.887368046186344865e-06 6.821463808079306677e-06 1.133085890879753199e-04 5.694735247666198887e-05 2.326635248686922150e-04 2.152378503816668978e-04
4.550000000000000000e+02 9.256034764892748972e-05 1.273319968123321646e-05 7.591534173921972759e-06 1.185637400204105199e-04 5.585991665326920784e-05 2.205577561345952538e-04 2.158409219019666249e-04
4.650000000000000000e+02 9.515772057593232082e-05 1.797709627556743451e-05 7.928486765139903310e-06 1.210797562084730622e-04 5.631174556326621158e-05 2.078121171260298038e-04 2.120247969552175866e-04
