# z u v w uhoriz
5.250000000000000000e+02 -7.634413736766299863e+00 -5.763346338768040589e+00 -2.043527602604248389e-08 9.565585926890049606e+00
5.350000000000000000e+02 -7.835732445649307820e+00 -5.633216310483929234e+00 -2.009162392147023685e-08 9.650483353723970481e+00
5.450000000000000000e+02 -8.037060356990490817e+00 -5.503082111488671657e+00 -1.983936734793936105e-08 9.740546797161581338e+00
5.550000000000000000e+02 -8.234180176222206882e+00 -5.370356352550459178e+00 -1.945960996203739445e-08 9.830689219371642196e+00
5.650000000000000000e+02 -8.427079786766375591e+00 -5.235035313096580545e+00 -1.943740984543515058e-08 9.920749390136545998e+00
5.750000000000000000e+02 -8.619979617270582040e+00 -5.099721638399891788e+00 -1.909057036454628197e-08 1.001554838195714403e+01
5.850000000000000000e+02 -8.812875733063567196e+00 -4.964410727705514503e+00 -1.823951124578125025e-08 1.011494698749223886e+01
5.950000000000000000e+02 -9.005779585344017235e+00 -4.829088723927247528e+00 -1.656417908941574212e-08 1.021881420925932815e+01
6.050000000000000000e+02 -9.184578914679329742e+00 -4.687037170890962834e+00 -1.478111244834059670e-08 1.031139211170274983e+01
6.150000000000000000e+02 -9.349263741954544571e+00 -4.538265641513324233e+00 -1.470362316682663573e-08 1.039252556165084584e+01
6.250000000000000000e+02 -9.513950172492689816e+00 -4.389493740821347245e+00 -1.122118507385834588e-08 1.047773368555354523e+01
6.350000000000000000e+02 -9.678646994929758662e+00 -4.240718230288873514e+00 -6.933632743922688137e-09 1.056692475421147570e+01
6.450000000000000000e+02 -9.843336270616672934e+00 -4.091941036479385119e+00 1.212556458033712633e-09 1.065998360141617418e+01
6.550000000000000000e+02 -1.000486730967426752e+01 -3.935466199198187187e+00 3.160579962304188613e-09 1.075105874271088879e+01
6.650000000000000000e+02 -1.016324341405637099e+01 -3.771299277325055765e+00 5.197590500822242957e-09 1.084039736045282964e+01
6.750000000000000000e+02 -1.032162245164557035e+01 -3.607124902288096902e+00 6.422319693127339807e-09 1.093376605269295254e+01
6.850000000000000000e+02 -1.047999976942498357e+01 -3.442949941347456022e+00 7.170489084040452785e-09 1.103106066821192677e+01
