# z uu uv uw vv vw ww TKE
2.450000000000000000e+02 1.058721007419172466e-01 2.739024029838833720e-03 -2.249930204459594466e-03 1.838053233582220558e-01 3.150339028305289280e-02 8.202807831439137831e-02 1.858527512072653542e-01
2.550000000000000000e+02 9.457733045186096643e-02 2.095967234817098341e-04 -1.339426982140210420e-03 1.623907392874671118e-01 2.465959959193957801e-02 7.489519810025646596e-02 1.659316339197922652e-01
2.650000000000000000e+02 8.570251127518632717e-02 9.665736599714511634e-04 -1.125685725768836706e-03 1.449980193844273568e-01 1.854863103039340252e-02 6.921696580782359109e-02 1.499587482337186306e-01
2.750000000000000000e+02 7.912105841102060055e-02 2.451944872588415758e-03 1.180488895494067724e-03 1.263129215775414260e-01 1.417088343655414050e-02 6.377247620517287330e-02 1.346032280968674499e-01
2.850000000000000000e+02 7.513218953642926412e-02 6.181750443323518265e-03 5.166908970926014505e-03 1.133245379645404921e-01 1.234471768542025859e-02 5.853613419227199355e-02 1.234964308466208749e-01
2.950000000000000000e+02 7.505220274391337376e-02 1.014577950798481107e-02 7.718110584149934401e-03 1.014832398985910655e-01 9.197907906059711591e-03 5.403904453661784180e-02 1.152872435895611336e-01
3.050000000000000000e+02 7.592921648478659358e-02 1.231857674165254615e-02 9.074721561745336881e-03 9.279527097257657398e-02 9.526601814543490809e-03 4.966856822232618845e-02 1.091965278398446815e-01
3.150000000000000000e+02 7.676115119506890516e-02 1.189803180163418427e-02 8.392495365736662993e-03 8.378231512644560008e-02 8.285645986580729774e-03 4.537479102888197086e-02 1.029591286751982415e-01
3.250000000000000000e+02 7.261967022091911361e-02 1.267459333022899828e-02 6.134198626987281966e-03 7.436982664472971405e-02 6.509881758280060618e-03 4.118770256464964613e-02 9.408859971514924037e-02
3.350000000000000000e+02 6.776417618639772600e-02 1.242965462434196880e-02 4.725814930814161048e-03 6.211375753428083346e-02 6.143609916102069600e-03 3.707612833232259986e-02 8.347703102650058660e-02
3.450000000000000000e+02 5.947883716485515004e-02 1.256918865820408696e-02 3.595653510916125249e-03 5.680350113299659220e-02 4.946465582831223104e-03 3.341929795521003665e-02 7.485081812653088251e-02
3.550000000000000000e+02 5.920213415517153882e-02 1.194508656276789191e-02 4.195931117126108258e-03 4.813932097849472208e-02 3.997149603970644519e-03 3.024340107461792604e-02 6.879242810414210041e-02
3.650000000000000000e+02 5.309175808484560555e-02 1.139252470625706781e-02 4.220513656514862828e-03 4.318791537600515790e-02 3.077024911644437276e-03 2.755109569478311066e-02 6.191538457781693705e-02
3.750000000000000000e+02 4.817189538201527288e-02 9.383592068864082467e-03 3.726865884401451591e-03 3.379946988936016056e-02 2.649798537523099899e-03 2.525119932209012735e-02 5.361128229673278733e-02
3.850000000000000000e+02 4.292800770718620956e-02 1.034615694201765704e-02 2.948679266244912025e-03 3.243086462589551966e-02 3.687508958809462747e-03 2.331037302695417035e-02 4.933462268001794632e-02
3.950000000000000000e+02 3.988523168339752623e-02 9.079772928917973634e-03 3.231524469311600374e-03 3.050057541600549246e-02 3.681559799605935331e-03 2.163844785495217318e-02 4.601212747717759594e-02
4.050000000000000000e+02 3.667038807385578775e-02 5.522029055775784512e-03 4.396180662911428408e-03 2.939328617711249245e-02 2.189043184125285223e-03 2.020697364425632150e-02 4.313532394761229738e-02
4.150000000000000000e+02 3.534106818762305924e-02 3.824359184099336735e-03 3.524879448710719482e-03 2.809074110683808592e-02 2.962464353357736890e-03 1.899021572955745391e-02 4.121101251200930127e-02
4.250000000000000000e+02 3.298767620275630530e-02 2.460340332561902592e-03 1.982064687950070136e-03 2.766161584149701147e-02 3.782119820849838641e-03 1.808121533035232653e-02 3.936525368730282165e-02
4.350000000000000000e+02 2.999709649095974595e-02 1.066532164588310943e-04 1.255786243629865902e-03 2.297406996472205892e-02 5.207360539085704315e-03 1.749491752641891412e-02 3.523304199105035950e-02
4.450000000000000000e+02 3.145988055388114490e-02 -3.790802819756612652e-03 1.884403300920546934e-03 2.371003661831790760e-02 5.095705074600643224e-03 1.693075120266036154e-02 3.605033418742970702e-02
4.550000000000000000e+02 3.589943699574529162e-02 -6.144903156575782892e-03 2.038143487981871997e-03 2.247299992443384936e-02 5.757057452605693695e-03 1.628531588087641507e-02 3.732887640052777456e-02
4.650000000000000000e+02 4.227722182295538117e-02 -8.184016420391399330e-03 1.577399714033303566e-03 2.507979080487738807e-02 5.778820540478684861e-03 1.557950527378285099e-02 4.146825895080780838e-02
4.750000000000000000e+02 4.768877958240912845e-02 -8.092261681222014461e-03 1.411555333377236291e-03 2.972868405519438206e-02 6.500205538258052931e-03 1.491291370638841117e-02 4.616518867199596171e-02
