# z, uT, vT, wT
8.593750000000000000e+02 -1.321600481831834988e-04 1.124750744273458169e-05 -8.302319540868760458e-06
8.697916666669999586e+02 -1.113867943803219056e-04 1.856782713721842861e-05 -1.704962704464363116e-05
8.802083333330000414e+02 -9.670917480246427706e-05 1.530124273958905070e-05 -1.968055406664886208e-05
8.906250000000000000e+02 -8.366040770566756171e-05 9.512925466820668896e-06 -1.987041455604588485e-05
9.010416666669999586e+02 -6.439852801145938685e-05 1.117037486277960944e-06 -2.279478076641725326e-05
9.114583333330000414e+02 -4.497925374720407972e-05 -1.812401270834932440e-05 -2.295272744459633712e-05
9.218750000000000000e+02 -2.825289148793241840e-05 -3.529688498272184563e-05 -2.221639938815776107e-05
9.322916666669999586e+02 -1.344329188718081274e-06 -7.000500836567037101e-05 -1.973973541775284047e-05
9.427083333330000414e+02 1.121728252078312798e-05 -1.103473847349052223e-04 -1.310953684855293322e-05
9.531250000000000000e+02 5.152384585552435023e-05 -1.475609441033499990e-04 -1.071293240751460966e-05
9.635416666669999586e+02 1.047347547028006375e-04 -2.029078023968938836e-04 -4.509268394656992300e-06
9.739583333330000414e+02 1.663654803685450689e-04 -2.545148703430589175e-04 -9.594269295602449947e-07
9.843750000000000000e+02 2.358195572430866755e-04 -3.025190278057931039e-04 3.342002010023460087e-06
9.947916666669999586e+02 2.998714303681207006e-04 -3.386033597233488023e-04 9.748506347459978883e-06
1.005208333329999959e+03 3.491617774689321292e-04 -3.645510809503403572e-04 9.789826144514588428e-06
1.015625000000000000e+03 3.642611020441534017e-04 -3.749827789527623682e-04 1.795424156472795238e-05
1.026041666670000041e+03 3.463243501307654315e-04 -3.702499709379064759e-04 2.205112947626662508e-05
1.036458333329999959e+03 3.143320010467360605e-04 -3.508556654896415440e-04 1.534206909061422460e-05
1.046875000000000000e+03 2.655805186300602455e-04 -3.104395332210418924e-04 2.423946559925334163e-05
1.057291666670000041e+03 2.140850289124367157e-04 -2.697987501073234443e-04 1.377165295309302170e-05
1.067708333329999959e+03 1.616200980927795462e-04 -2.414460643206823307e-04 1.762714561213786905e-05
1.078125000000000000e+03 1.077031197999745691e-04 -2.210044321645235549e-04 1.210387323043793630e-05
1.088541666670000041e+03 6.405449571008575238e-05 -2.062898875598942223e-04 1.287561312552101429e-05
1.098958333329999959e+03 2.071571753150315101e-05 -1.959942893412109917e-04 1.168216746715193270e-05
1.109375000000000000e+03 -4.357156635099267924e-06 -1.870619578587626609e-04 8.375809273505093787e-06
1.119791666670000041e+03 -7.069714960353711960e-06 -1.572026763728893138e-04 1.110966906001432048e-05
1.130208333329999959e+03 5.656329757149777242e-06 -1.324206143606896095e-04 9.174163024668819644e-06
1.140625000000000000e+03 2.852936307218197979e-05 -1.126831579577440578e-04 1.245458107141063796e-05
1.151041666670000041e+03 4.321725156917020233e-05 -9.194691794761551988e-05 1.067001759475467120e-05
1.161458333329999959e+03 4.618650282556936395e-05 -7.818163194178377577e-05 1.135442070643468928e-05
1.171875000000000000e+03 3.703880611396009556e-05 -5.857715621716666937e-05 1.051234693074186101e-05
1.182291666670000041e+03 6.752870298683441881e-06 -4.758022537068420704e-05 3.505702177494804369e-06
1.192708333329999959e+03 -3.100623920485721686e-05 -4.344290349245585360e-05 2.785795005781365510e-06
1.203125000000000000e+03 -6.805697700311950666e-05 -3.824801978094747299e-05 -4.089621875074602037e-06
1.213541666670000041e+03 -9.459546308168242761e-05 -3.768597184048352454e-05 -1.069112416182288223e-05
1.223958333329999959e+03 -1.178511932430242236e-04 -4.068275468046487738e-05 -1.081207172831682943e-05
1.234375000000000000e+03 -1.286930476886458206e-04 -5.470808638163749158e-05 -1.581741436111221266e-05
1.244791666670000041e+03 -1.330814172953797647e-04 -7.689474487077546498e-05 -1.246082215270160510e-05
1.255208333329999959e+03 -1.300673969842360792e-04 -1.004161779835230161e-04 -1.357906217377808705e-05
1.265625000000000000e+03 -9.600934123017834513e-05 -1.349798771497447071e-04 -6.985776400680050606e-06
1.276041666670000041e+03 -5.703653790992877876e-05 -1.598755118483027795e-04 -7.522287247573534446e-06
1.286458333329999959e+03 -1.025972289736024157e-07 -1.818116222905820313e-04 -1.812490106303072108e-06
1.296875000000000000e+03 6.220370963077844276e-05 -2.014418235272715614e-04 2.425297169264464855e-08
1.307291666670000041e+03 1.081648359632014160e-04 -2.265359838133595939e-04 6.582229172872114228e-06
1.317708333329999959e+03 1.507696836264901124e-04 -2.526270297638577795e-04 1.060086548321622618e-05
1.328125000000000000e+03 1.767613588595195442e-04 -2.757677252318178006e-04 1.697616849401158449e-05
1.338541666670000041e+03 1.972965398316757967e-04 -2.952746399339485433e-04 2.484931473747043599e-05
1.348958333329999959e+03 2.032296368608992509e-04 -3.047202879047311661e-04 2.807906776145533830e-05
1.359375000000000000e+03 1.970033656448718403e-04 -3.068978030583886536e-04 3.361957648927575465e-05
1.369791666670000041e+03 1.844461759252804221e-04 -2.945218988385530203e-04 3.735291471189269391e-05
1.380208333329999959e+03 1.557925035560165749e-04 -2.848658862506963968e-04 3.882228715487412012e-05
1.390625000000000000e+03 1.288053472574750107e-04 -2.593952427955255931e-04 4.285007132808632546e-05
1.401041666670000041e+03 1.042826613866069149e-04 -2.284739554855379185e-04 3.889455939059656501e-05
1.411458333329999959e+03 7.420761902849738279e-05 -1.831687301014579610e-04 4.001795510736008330e-05
1.421875000000000000e+03 4.365021672907729526e-05 -1.324107908667570535e-04 3.614459323819330875e-05
1.432291666670000041e+03 1.359692311352893024e-05 -7.650936343420941261e-05 3.158959841055094820e-05
1.442708333329999959e+03 -6.656117469535697780e-06 -2.018576713490949774e-05 3.028325710867192590e-05
1.453125000000000000e+03 -2.115987037918165624e-05 2.938576602178831940e-05 2.992446412060534801e-05
1.463541666670000041e+03 -2.414146668967606844e-05 7.097301630375017897e-05 2.461364402383331974e-05
1.473958333329999959e+03 -1.402553051689911019e-05 9.590681561093931397e-05 2.861169972079107186e-05
1.484375000000000000e+03 2.037694183506998940e-06 1.132872630461095133e-04 2.580537664284775722e-05
1.494791666670000041e+03 8.019936979882762981e-06 1.246452865682793026e-04 2.575931223343872815e-05
1.505208333329999959e+03 4.718736393947758305e-06 1.318231333889041581e-04 2.689849203408769729e-05
1.515625000000000000e+03 -8.221310204646444238e-06 1.376747541145620932e-04 2.362667961280950731e-05
1.526041666670000041e+03 -3.054406283100911056e-05 1.431873570262608196e-04 2.263312795844143479e-05
1.536458333329999959e+03 -5.696962322325152566e-05 1.494796479531717182e-04 1.848467615614441545e-05
1.546875000000000000e+03 -8.379670815316339649e-05 1.612238475240293620e-04 1.538017328955429468e-05
1.557291666670000041e+03 -1.088966533570805644e-04 1.726858503680693947e-04 1.319070323406767397e-05
1.567708333329999959e+03 -1.256432166888652455e-04 1.862806116005950505e-04 1.025362576374014494e-05
1.578125000000000000e+03 -1.417935424508938848e-04 2.081669834108966055e-04 1.203707894098276549e-05
1.588541666670000041e+03 -1.547369258613194327e-04 2.306027644255291412e-04 1.023273919272317318e-05
1.598958333329999959e+03 -1.569579641143930518e-04 2.488613841014794786e-04 1.176702505198391567e-05
1.609375000000000000e+03 -1.482319445164152999e-04 2.561722884266734272e-04 1.210769318995122297e-05
1.619791666670000041e+03 -1.253772919042226385e-04 2.577209073346958400e-04 1.016151167634777271e-05
1.630208333329999959e+03 -1.023495478754104772e-04 2.540906057257805704e-04 9.651119204709669201e-06
1.640625000000000000e+03 -8.501229598989487146e-05 2.489216002064199764e-04 5.886604129387009929e-06
1.651041666670000041e+03 -7.153341768618009806e-05 2.426384312136282170e-04 1.978278880146683889e-06
1.661458333329999959e+03 -6.873166494566762270e-05 2.347109277009247410e-04 -2.667258107448216839e-06
1.671875000000000000e+03 -7.312722066977132135e-05 2.329356932783022843e-04 -1.057413014797056878e-05
1.682291666670000041e+03 -8.135871107912412002e-05 2.386230369628414608e-04 -1.561409837884104694e-05
1.692708333329999959e+03 -9.658147480466149190e-05 2.514242669214346456e-04 -2.189827515855812857e-05
1.703125000000000000e+03 -1.169570500644429327e-04 2.698894580078057713e-04 -2.427395012509584457e-05
1.713541666670000041e+03 -1.440483881553531831e-04 2.918398049897271210e-04 -2.459238756018685546e-05
1.723958333329999959e+03 -1.771045463944846471e-04 3.258266112822199721e-04 -2.433530478601091313e-05
1.734375000000000000e+03 -2.104436966068807310e-04 3.704537838329775542e-04 -2.175906845859221865e-05
1.744791666670000041e+03 -2.434976257089759141e-04 4.223539627028524267e-04 -2.205709419567010251e-05
1.755208333329999959e+03 -2.743510543597396266e-04 4.678200627388510915e-04 -2.224383231055709109e-05
1.765625000000000000e+03 -3.021060126088610147e-04 5.023519989107934390e-04 -2.610084281128100870e-05
1.776041666670000041e+03 -3.267781258454817211e-04 5.258488030459278076e-04 -3.045553903075474316e-05
1.786458333329999959e+03 -3.402057470051450777e-04 5.358483232284022785e-04 -3.383587618971295083e-05
1.796875000000000000e+03 -3.478806306750721264e-04 5.415555485337790421e-04 -3.756433499017305364e-05
1.807291666670000041e+03 -3.495165513688141233e-04 5.390302506054523183e-04 -3.810417944080693285e-05
1.817708333329999959e+03 -3.547507688993654863e-04 5.403868681623267634e-04 -3.768653131632594889e-05
1.828125000000000000e+03 -3.677913353574515688e-04 5.478996254385460262e-04 -3.590652948084156136e-05
1.838541666670000041e+03 -3.860398144253754144e-04 5.614194752912129213e-04 -3.243637503470292455e-05
1.848958333329999959e+03 -4.094090548494875919e-04 5.787940097516073874e-04 -2.898408341238260775e-05
1.859375000000000000e+03 -4.317176856870674284e-04 5.873224449280681691e-04 -2.505060761922671528e-05
1.869791666670000041e+03 -4.570271698237967761e-04 5.877007234613572557e-04 -1.950642009559199627e-05
1.880208333329999959e+03 -4.829485177721430027e-04 5.773504204808713874e-04 -1.747445600216786203e-05
1.890625000000000000e+03 -5.165765892630740271e-04 5.648349696170448103e-04 -1.189520292704841913e-05
1.901041666670000041e+03 -5.573430641482670679e-04 5.453957375486078590e-04 -1.111376696800084008e-05
1.911458333329999959e+03 -5.968846148017016269e-04 5.155660874511673640e-04 -7.966918898608294652e-06
1.921875000000000000e+03 -6.317220554954677391e-04 4.748443186661970906e-04 -6.669564230933409668e-06
1.932291666670000041e+03 -6.497946655377291819e-04 4.224973882788786439e-04 -6.784865889210108504e-06
1.942708333329999959e+03 -6.501995097171026864e-04 3.661874910634255144e-04 -4.522211014906094879e-06
1.953125000000000000e+03 -6.232864949649183578e-04 3.130887348014002223e-04 -5.015013508080508502e-06
1.963541666670000041e+03 -5.560227255657634871e-04 2.557669349881730838e-04 -2.892284488333842667e-06
1.973958333329999959e+03 -4.351501384951115712e-04 1.892481250571139578e-04 -2.014391209479059725e-06
1.984375000000000000e+03 -2.548853312887696342e-04 1.062982160984916310e-04 -7.235644695641152745e-07
1.994791666670000041e+03 -7.554968921473468615e-05 3.040730447149942676e-05 -2.473283534475217774e-08
